[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=08249
date=02/03/23
time=13:28:36.99
pressureoffset=0.06
usepressureoffset=yes
slot1sensor1=micro c sensor sn 500482 02/01/22
slot1sensor2=micro c sensor sn 00/00/00
slot3sensor1=micro p&t sensor sn e00029 02/01/22
slot3sensor2=micro p&t sensor sn 400138 02/01/22

average sound velocity=1479.86
 
comments= 
 
[data]
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,13:28:37.06,05.347,-0000.05,10.478,008.07,04.095,1002.858,1454.21
02/03/23,13:28:37.08,12.027,-0000.05,10.478,008.07,09.784,1007.278,1461.11
02/03/23,13:28:37.11,26.547,0000.02,09.675,008.07,23.688,1018.184,1474.89
02/03/23,13:28:37.14,26.546,0000.01,09.674,008.07,23.688,1018.184,1474.88
02/03/23,13:28:37.16,26.547,0000.02,09.673,008.07,23.690,1018.185,1474.88
02/03/23,13:28:37.19,26.542,0000.01,09.672,008.07,23.685,1018.182,1474.87
02/03/23,13:28:37.23,26.542,0000.02,09.672,008.07,23.685,1018.182,1474.87
02/03/23,13:28:37.27,26.546,0000.00,09.673,008.07,23.689,1018.185,1474.88
02/03/23,13:28:37.31,26.548,0000.01,09.672,008.07,23.692,1018.187,1474.88
02/03/23,13:28:37.35,26.549,0000.00,09.670,008.07,23.694,1018.189,1474.87
02/03/23,13:28:37.39,26.553,0000.00,09.669,008.07,23.699,1018.193,1474.87
02/03/23,13:28:37.43,26.560,0000.02,09.668,008.07,23.706,1018.199,1474.88
02/03/23,13:28:37.47,26.565,0000.02,09.668,008.07,23.711,1018.203,1474.89
02/03/23,13:28:37.51,26.576,0000.01,09.668,008.07,23.722,1018.211,1474.90
02/03/23,13:28:37.55,26.579,0000.00,09.667,008.07,23.725,1018.214,1474.90
02/03/23,13:28:37.59,26.583,0000.00,09.666,008.07,23.730,1018.218,1474.90
02/03/23,13:28:37.63,26.584,0000.02,09.663,008.07,23.733,1018.220,1474.89
02/03/23,13:28:37.67,26.583,0000.03,09.662,008.07,23.733,1018.220,1474.89
02/03/23,13:28:37.71,26.585,0000.01,09.660,008.07,23.736,1018.223,1474.89
02/03/23,13:28:37.75,26.586,0000.04,09.660,008.07,23.737,1018.224,1474.89
02/03/23,13:28:37.79,26.587,-0000.01,09.659,008.07,23.738,1018.225,1474.89
02/03/23,13:28:37.83,26.589,-0000.01,09.659,008.07,23.740,1018.227,1474.89
02/03/23,13:28:37.87,26.592,0000.02,09.658,008.07,23.744,1018.230,1474.89
02/03/23,13:28:37.91,26.595,0000.00,09.656,008.07,23.749,1018.233,1474.89
02/03/23,13:28:37.95,26.594,0000.02,09.655,008.07,23.748,1018.233,1474.88
02/03/23,13:28:37.99,26.595,0000.02,09.655,008.07,23.750,1018.234,1474.88
02/03/23,13:28:38.03,26.596,0000.03,09.654,008.07,23.751,1018.236,1474.88
02/03/23,13:28:38.07,26.598,0000.05,09.655,008.07,23.753,1018.237,1474.89
02/03/23,13:28:38.11,26.598,0000.05,09.655,008.07,23.752,1018.236,1474.89
02/03/23,13:28:38.15,26.598,0000.05,09.657,008.07,23.751,1018.236,1474.89
02/03/23,13:28:38.19,26.600,0000.03,09.656,008.07,23.754,1018.237,1474.89
02/03/23,13:28:38.23,26.602,0000.02,09.656,008.07,23.756,1018.239,1474.90
02/03/23,13:28:38.27,26.601,0000.04,09.655,008.07,23.756,1018.239,1474.89
02/03/23,13:28:38.31,26.603,0000.04,09.655,008.07,23.757,1018.240,1474.89
02/03/23,13:28:38.35,26.602,0000.02,09.654,008.07,23.757,1018.240,1474.89
02/03/23,13:28:38.39,26.602,0000.05,09.654,008.07,23.757,1018.241,1474.89
02/03/23,13:28:38.43,26.601,0000.04,09.654,008.07,23.756,1018.240,1474.89
02/03/23,13:28:38.47,26.602,0000.05,09.655,008.07,23.757,1018.240,1474.89
02/03/23,13:28:38.51,26.601,0000.06,09.657,008.07,23.754,1018.238,1474.90
02/03/23,13:28:38.55,26.601,0000.03,09.657,008.07,23.754,1018.237,1474.90
02/03/23,13:28:38.59,26.600,0000.06,09.658,008.07,23.752,1018.236,1474.90
02/03/23,13:28:38.63,26.601,0000.03,09.656,008.07,23.755,1018.238,1474.89
02/03/23,13:28:38.67,26.601,0000.02,09.657,008.07,23.754,1018.237,1474.90
02/03/23,13:28:38.71,26.601,0000.03,09.657,008.07,23.754,1018.238,1474.90
02/03/23,13:28:38.75,26.601,0000.03,09.657,008.07,23.754,1018.237,1474.90
02/03/23,13:28:38.79,26.602,0000.04,09.657,008.07,23.755,1018.239,1474.90
02/03/23,13:28:38.83,26.604,0000.05,09.658,008.07,23.756,1018.239,1474.91
02/03/23,13:28:38.87,26.601,0000.03,09.658,008.07,23.753,1018.237,1474.90
02/03/23,13:28:38.91,26.600,0000.04,09.659,008.07,23.752,1018.235,1474.90
02/03/23,13:28:38.95,26.594,0000.01,09.660,008.07,23.745,1018.230,1474.90
02/03/23,13:28:38.99,26.590,0000.02,09.660,008.07,23.741,1018.227,1474.89
02/03/23,13:28:39.03,26.588,0000.04,09.660,008.07,23.739,1018.225,1474.89
02/03/23,13:28:39.07,26.585,0000.04,09.660,008.07,23.736,1018.223,1474.89
02/03/23,13:28:39.11,26.586,0000.04,09.660,008.07,23.737,1018.224,1474.89
02/03/23,13:28:39.15,26.588,0000.04,09.660,008.07,23.739,1018.225,1474.89
02/03/23,13:28:39.19,26.587,0000.02,09.664,008.07,23.735,1018.222,1474.90
02/03/23,13:28:39.23,26.585,0000.01,09.668,008.07,23.731,1018.218,1474.91
02/03/23,13:28:39.27,26.588,0000.03,09.672,008.07,23.731,1018.218,1474.92
02/03/23,13:28:39.31,26.592,0000.01,09.674,008.07,23.734,1018.219,1474.94
02/03/23,13:28:39.35,26.595,0000.03,09.675,008.07,23.736,1018.221,1474.94
02/03/23,13:28:39.39,26.598,0000.04,09.676,008.07,23.738,1018.223,1474.95
02/03/23,13:28:39.43,26.600,0000.02,09.677,008.07,23.740,1018.224,1474.95
02/03/23,13:28:39.47,26.601,0000.04,09.676,008.07,23.741,1018.225,1474.95
02/03/23,13:28:39.51,26.598,0000.02,09.674,008.07,23.740,1018.224,1474.94
02/03/23,13:28:39.55,26.593,0000.00,09.673,008.07,23.735,1018.221,1474.93
02/03/23,13:28:39.59,26.591,0000.03,09.672,008.07,23.734,1018.220,1474.93
02/03/23,13:28:39.63,26.587,0000.03,09.671,008.07,23.731,1018.217,1474.92
02/03/23,13:28:39.67,26.585,0000.01,09.670,008.07,23.730,1018.217,1474.91
02/03/23,13:28:39.71,26.585,-0000.01,09.667,008.07,23.731,1018.218,1474.91
02/03/23,13:28:39.75,26.586,0000.02,09.664,008.07,23.734,1018.221,1474.90
02/03/23,13:28:39.79,26.588,0000.02,09.662,008.07,23.737,1018.224,1474.90
02/03/23,13:28:39.83,26.587,0000.01,09.664,008.07,23.735,1018.222,1474.90
02/03/23,13:28:39.87,26.584,0000.02,09.666,008.07,23.731,1018.218,1474.90
02/03/23,13:28:39.91,26.579,0000.00,09.665,008.07,23.726,1018.215,1474.89
02/03/23,13:28:39.95,26.575,0000.02,09.664,008.07,23.723,1018.213,1474.89
02/03/23,13:28:39.99,26.570,0000.01,09.662,008.07,23.721,1018.211,1474.87
02/03/23,13:28:40.03,26.568,0000.01,09.661,008.07,23.719,1018.210,1474.87
02/03/23,13:28:40.07,26.570,0000.03,09.660,008.07,23.721,1018.212,1474.87
02/03/23,13:28:40.11,26.570,0000.00,09.660,008.07,23.721,1018.212,1474.87
02/03/23,13:28:40.15,26.574,0000.00,09.660,008.07,23.724,1018.214,1474.87
02/03/23,13:28:40.19,26.576,0000.03,09.661,008.07,23.726,1018.215,1474.88
02/03/23,13:28:40.23,26.579,0000.01,09.661,008.07,23.729,1018.217,1474.88
02/03/23,13:28:40.27,26.582,0000.00,09.660,008.07,23.733,1018.220,1474.88
02/03/23,13:28:40.31,26.582,-0000.01,09.661,008.07,23.732,1018.220,1474.89
02/03/23,13:28:40.35,26.586,0000.01,09.660,008.07,23.737,1018.223,1474.89
02/03/23,13:28:40.39,26.586,0000.03,09.660,008.07,23.737,1018.224,1474.89
02/03/23,13:28:40.43,26.590,0000.01,09.660,008.07,23.741,1018.227,1474.89
02/03/23,13:28:40.47,26.590,0000.03,09.660,008.07,23.741,1018.227,1474.89
02/03/23,13:28:40.51,26.593,0000.02,09.660,008.07,23.744,1018.229,1474.90
02/03/23,13:28:40.55,26.592,0000.00,09.660,008.07,23.743,1018.228,1474.89
02/03/23,13:28:40.59,26.594,0000.00,09.659,008.07,23.745,1018.230,1474.89
02/03/23,13:28:40.63,26.595,0000.02,09.660,008.07,23.746,1018.231,1474.90
02/03/23,13:28:40.67,26.596,0000.02,09.660,008.07,23.747,1018.232,1474.90
02/03/23,13:28:40.71,26.597,0000.02,09.660,008.07,23.748,1018.232,1474.90
02/03/23,13:28:40.75,26.598,0000.01,09.660,008.07,23.749,1018.233,1474.90
02/03/23,13:28:40.79,26.600,0000.00,09.661,008.07,23.750,1018.233,1474.91
02/03/23,13:28:40.83,26.602,0000.02,09.662,008.07,23.752,1018.235,1474.91
02/03/23,13:28:40.87,26.603,0000.02,09.661,008.07,23.753,1018.236,1474.91
02/03/23,13:28:40.91,26.606,0000.01,09.662,008.07,23.755,1018.238,1474.92
02/03/23,13:28:40.95,26.608,0000.02,09.664,008.07,23.756,1018.238,1474.93
02/03/23,13:28:40.99,26.611,0000.02,09.666,008.07,23.757,1018.239,1474.93
02/03/23,13:28:41.03,26.611,0000.01,09.666,008.07,23.757,1018.238,1474.94
02/03/23,13:28:41.07,26.610,0000.01,09.666,008.07,23.756,1018.238,1474.93
02/03/23,13:28:41.11,26.608,0000.03,09.666,008.07,23.755,1018.237,1474.93
02/03/23,13:28:41.15,26.607,0000.02,09.666,008.07,23.754,1018.237,1474.93
02/03/23,13:28:41.19,26.606,0000.00,09.665,008.07,23.754,1018.236,1474.93
02/03/23,13:28:41.23,26.605,0000.01,09.665,008.07,23.753,1018.235,1474.93
02/03/23,13:28:41.27,26.604,0000.02,09.664,008.07,23.753,1018.235,1474.92
02/03/23,13:28:41.31,26.605,0000.00,09.664,008.07,23.754,1018.236,1474.92
02/03/23,13:28:41.35,26.605,0000.01,09.664,008.07,23.754,1018.236,1474.92
02/03/23,13:28:41.39,26.606,0000.00,09.663,008.07,23.755,1018.237,1474.92
02/03/23,13:28:41.43,26.606,-0000.01,09.662,008.07,23.755,1018.238,1474.92
02/03/23,13:28:41.47,26.607,0000.01,09.663,008.07,23.756,1018.238,1474.92
02/03/23,13:28:41.51,26.604,0000.02,09.663,008.07,23.753,1018.236,1474.92
02/03/23,13:28:41.55,26.607,0000.02,09.663,008.07,23.756,1018.238,1474.92
02/03/23,13:28:41.59,26.605,0000.02,09.662,008.07,23.755,1018.237,1474.92
02/03/23,13:28:41.63,26.605,0000.02,09.662,008.07,23.754,1018.237,1474.92
02/03/23,13:28:41.67,26.607,0000.01,09.663,008.07,23.756,1018.238,1474.92
02/03/23,13:28:41.71,26.607,0000.04,09.663,008.07,23.756,1018.238,1474.92
02/03/23,13:28:41.75,26.608,0000.00,09.664,008.07,23.757,1018.238,1474.93
02/03/23,13:28:41.79,26.607,0000.03,09.662,008.07,23.756,1018.239,1474.92
02/03/23,13:28:41.83,26.608,0000.01,09.663,008.07,23.757,1018.239,1474.92
02/03/23,13:28:41.87,26.611,0000.02,09.662,008.07,23.760,1018.241,1474.92
02/03/23,13:28:41.91,26.610,0000.04,09.660,008.07,23.760,1018.242,1474.92
02/03/23,13:28:41.95,26.613,0000.02,09.660,008.07,23.763,1018.244,1474.92
02/03/23,13:28:41.99,26.612,0000.00,09.662,008.07,23.761,1018.242,1474.92
02/03/23,13:28:42.03,26.611,0000.02,09.663,008.07,23.759,1018.241,1474.93
02/03/23,13:28:42.07,26.613,-0000.01,09.663,008.07,23.761,1018.242,1474.93
02/03/23,13:28:42.11,26.614,0000.02,09.661,008.07,23.763,1018.244,1474.92
02/03/23,13:28:42.15,26.613,0000.01,09.660,008.07,23.763,1018.244,1474.92
02/03/23,13:28:42.19,26.613,0000.02,09.659,008.07,23.764,1018.245,1474.92
02/03/23,13:28:42.23,26.612,0000.01,09.658,008.07,23.763,1018.244,1474.91
02/03/23,13:28:42.27,26.612,0000.01,09.657,008.07,23.764,1018.245,1474.91
02/03/23,13:28:42.31,26.612,0000.01,09.657,008.07,23.764,1018.245,1474.91
02/03/23,13:28:42.35,26.610,0000.02,09.657,008.07,23.762,1018.244,1474.91
02/03/23,13:28:42.39,26.610,0000.03,09.656,008.07,23.763,1018.245,1474.90
02/03/23,13:28:42.43,26.610,0000.05,09.657,008.07,23.762,1018.244,1474.91
02/03/23,13:28:42.47,26.608,0000.02,09.658,008.07,23.760,1018.242,1474.91
02/03/23,13:28:42.51,26.607,0000.01,09.658,008.07,23.759,1018.242,1474.91
