[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=08249
date=02/03/23
time=12:32:56.24
pressureoffset=0.06
usepressureoffset=yes
slot1sensor1=micro c sensor sn 500482 02/01/22
slot1sensor2=micro c sensor sn 00/00/00
slot3sensor1=micro p&t sensor sn e00029 02/01/22
slot3sensor2=micro p&t sensor sn 400138 02/01/22

average sound velocity=1478.97
 
comments= 
 
[data]
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,12:32:56.31,03.273,-0000.06,10.521,008.10,02.426,1001.553,1452.33
02/03/23,12:32:56.33,10.202,-0000.05,10.521,008.10,08.181,1006.029,1459.34
02/03/23,12:32:56.35,22.123,-0000.02,09.706,008.10,19.381,1014.828,1469.78
02/03/23,12:32:56.38,22.138,-0000.03,09.707,008.10,19.394,1014.838,1469.80
02/03/23,12:32:56.41,22.181,-0000.01,09.708,008.10,19.435,1014.870,1469.85
02/03/23,12:32:56.44,22.242,0000.00,09.709,008.10,19.494,1014.915,1469.93
02/03/23,12:32:56.48,22.333,0000.00,09.709,008.10,19.580,1014.982,1470.03
02/03/23,12:32:56.52,22.417,0000.02,09.710,008.10,19.661,1015.045,1470.13
02/03/23,12:32:56.56,22.442,-0000.02,09.710,008.10,19.685,1015.063,1470.16
02/03/23,12:32:56.60,22.417,-0000.01,09.709,008.10,19.662,1015.046,1470.13
02/03/23,12:32:56.64,22.380,-0000.01,09.707,008.10,19.627,1015.019,1470.08
02/03/23,12:32:56.68,22.357,0000.01,09.706,008.10,19.605,1015.002,1470.05
02/03/23,12:32:56.72,22.346,0000.00,09.705,008.10,19.595,1014.994,1470.04
02/03/23,12:32:56.76,22.364,0000.00,09.705,008.10,19.612,1015.008,1470.06
02/03/23,12:32:56.80,22.400,0000.00,09.705,008.10,19.647,1015.034,1470.10
02/03/23,12:32:56.84,22.505,0000.00,09.705,008.10,19.747,1015.113,1470.22
02/03/23,12:32:56.88,22.616,0000.00,09.706,008.10,19.854,1015.195,1470.35
02/03/23,12:32:56.92,22.733,-0000.03,09.707,008.10,19.966,1015.283,1470.49
02/03/23,12:32:56.96,22.825,0000.00,09.705,008.10,20.056,1015.353,1470.59
02/03/23,12:32:57.00,22.861,0000.03,09.700,008.10,20.093,1015.383,1470.62
02/03/23,12:32:57.04,22.878,0000.01,09.697,008.10,20.111,1015.397,1470.63
02/03/23,12:32:57.08,22.920,-0000.02,09.693,008.10,20.153,1015.430,1470.66
02/03/23,12:32:57.12,22.996,-0000.03,09.690,008.10,20.229,1015.489,1470.74
02/03/23,12:32:57.16,23.066,0000.01,09.688,008.10,20.297,1015.542,1470.82
02/03/23,12:32:57.20,23.215,0000.01,09.688,008.10,20.441,1015.654,1470.99
02/03/23,12:32:57.24,23.340,0000.01,09.688,008.10,20.560,1015.747,1471.14
