[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=08249
date=02/03/23
time=10:58:34.78
pressureoffset=0.06
usepressureoffset=yes
slot1sensor1=micro c sensor sn 500482 02/01/22
slot1sensor2=micro c sensor sn 00/00/00
slot3sensor1=micro p&t sensor sn e00029 02/01/22
slot3sensor2=micro p&t sensor sn 400138 02/01/22

average sound velocity=1473.98
 
comments= 
 
[data]
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,10:58:34.85,08.035,-0000.09,12.257,008.13,06.039,1004.154,1463.29
02/03/23,10:58:34.87,09.195,-0000.08,12.252,008.13,06.982,1004.883,1464.40
02/03/23,10:58:34.89,20.915,0000.00,09.613,008.13,18.274,1013.979,1468.08
02/03/23,10:58:34.92,20.921,-0000.02,09.609,008.13,18.282,1013.986,1468.08
02/03/23,10:58:34.95,20.931,-0000.01,09.606,008.13,18.294,1013.995,1468.08
02/03/23,10:58:34.98,20.940,-0000.02,09.602,008.13,18.304,1014.004,1468.08
02/03/23,10:58:35.02,20.946,-0000.04,09.595,008.13,18.313,1014.012,1468.06
02/03/23,10:58:35.05,20.941,0000.00,09.585,008.13,18.314,1014.013,1468.03
02/03/23,10:58:35.10,20.931,0000.01,09.578,008.13,18.308,1014.010,1467.99
02/03/23,10:58:35.14,20.922,-0000.01,09.570,008.13,18.303,1014.007,1467.96
02/03/23,10:58:35.17,20.920,0000.00,09.565,008.13,18.304,1014.008,1467.93
02/03/23,10:58:35.22,20.920,-0000.01,09.559,008.13,18.306,1014.011,1467.92
02/03/23,10:58:35.26,20.922,-0000.01,09.553,008.13,18.311,1014.016,1467.90
02/03/23,10:58:35.30,20.924,-0000.01,09.550,008.13,18.315,1014.019,1467.89
02/03/23,10:58:35.33,20.921,-0000.03,09.544,008.13,18.315,1014.020,1467.87
02/03/23,10:58:35.38,20.917,-0000.02,09.538,008.13,18.314,1014.020,1467.85
02/03/23,10:58:35.41,20.914,-0000.02,09.531,008.13,18.315,1014.021,1467.82
02/03/23,10:58:35.46,20.911,-0000.02,09.526,008.13,18.314,1014.022,1467.80
02/03/23,10:58:35.50,20.911,-0000.03,09.521,008.13,18.317,1014.024,1467.79
02/03/23,10:58:35.53,20.914,-0000.02,09.518,008.13,18.322,1014.028,1467.78
02/03/23,10:58:35.58,20.915,-0000.02,09.515,008.13,18.324,1014.030,1467.77
02/03/23,10:58:35.62,20.917,-0000.02,09.511,008.13,18.328,1014.034,1467.76
02/03/23,10:58:35.66,20.917,0000.00,09.508,008.13,18.329,1014.035,1467.75
02/03/23,10:58:35.69,20.914,-0000.02,09.506,008.13,18.328,1014.034,1467.74
02/03/23,10:58:35.74,20.912,0000.01,09.505,008.13,18.326,1014.034,1467.73
02/03/23,10:58:35.78,20.909,-0000.02,09.503,008.13,18.324,1014.032,1467.72
02/03/23,10:58:35.82,20.902,-0000.02,09.501,008.13,18.319,1014.028,1467.71
02/03/23,10:58:35.86,20.903,-0000.03,09.499,008.13,18.321,1014.030,1467.71
02/03/23,10:58:35.89,20.903,-0000.02,09.499,008.13,18.322,1014.031,1467.70
02/03/23,10:58:35.94,20.910,-0000.01,09.498,008.13,18.328,1014.036,1467.71
02/03/23,10:58:35.98,20.917,-0000.02,09.496,008.13,18.336,1014.042,1467.71
02/03/23,10:58:36.01,20.926,-0000.01,09.495,008.13,18.345,1014.050,1467.72
02/03/23,10:58:36.06,20.935,0000.00,09.493,008.13,18.355,1014.057,1467.72
02/03/23,10:58:36.10,20.962,0000.00,09.493,008.13,18.381,1014.077,1467.75
02/03/23,10:58:36.14,20.994,-0000.01,09.491,008.13,18.412,1014.102,1467.79
02/03/23,10:58:36.17,21.044,-0000.04,09.490,008.13,18.461,1014.140,1467.84
02/03/23,10:58:36.22,21.093,-0000.01,09.489,008.13,18.508,1014.177,1467.89
02/03/23,10:58:36.25,21.122,0000.00,09.488,008.13,18.537,1014.200,1467.92
02/03/23,10:58:36.30,21.138,0000.00,09.486,008.13,18.553,1014.212,1467.94
02/03/23,10:58:36.33,21.151,-0000.02,09.486,008.13,18.565,1014.222,1467.95
02/03/23,10:58:36.38,21.163,0000.00,09.491,008.13,18.573,1014.228,1467.98
02/03/23,10:58:36.42,21.169,-0000.02,09.497,008.13,18.577,1014.229,1468.01
02/03/23,10:58:36.46,21.169,0000.01,09.504,008.13,18.573,1014.226,1468.03
02/03/23,10:58:36.50,21.171,-0000.01,09.509,008.13,18.572,1014.224,1468.05
02/03/23,10:58:36.53,21.168,0000.00,09.512,008.13,18.568,1014.221,1468.05
02/03/23,10:58:36.58,21.167,-0000.01,09.514,008.13,18.566,1014.219,1468.06
02/03/23,10:58:36.62,21.170,0000.02,09.514,008.13,18.569,1014.221,1468.06
02/03/23,10:58:36.66,21.177,-0000.02,09.515,008.13,18.575,1014.226,1468.07
02/03/23,10:58:36.69,21.186,-0000.01,09.516,008.13,18.584,1014.233,1468.09
02/03/23,10:58:36.74,21.191,0000.01,09.515,008.13,18.589,1014.237,1468.09
02/03/23,10:58:36.78,21.191,0000.00,09.515,008.13,18.589,1014.237,1468.09
02/03/23,10:58:36.82,21.193,0000.01,09.513,008.13,18.592,1014.239,1468.09
02/03/23,10:58:36.86,21.197,0000.00,09.511,008.13,18.596,1014.243,1468.08
02/03/23,10:58:36.89,21.199,-0000.03,09.510,008.13,18.598,1014.244,1468.08
02/03/23,10:58:36.94,21.202,0000.00,09.509,008.13,18.602,1014.247,1468.08
02/03/23,10:58:36.98,21.204,0000.00,09.508,008.13,18.604,1014.250,1468.08
02/03/23,10:58:37.01,21.207,0000.00,09.505,008.13,18.609,1014.254,1468.08
02/03/23,10:58:37.06,21.214,0000.00,09.501,008.13,18.618,1014.261,1468.07
02/03/23,10:58:37.10,21.229,0000.00,09.497,008.13,18.635,1014.274,1468.08
02/03/23,10:58:37.13,21.242,0000.01,09.494,008.13,18.648,1014.285,1468.08
02/03/23,10:58:37.17,21.254,-0000.02,09.491,008.13,18.661,1014.296,1468.09
02/03/23,10:58:37.22,21.273,0000.01,09.493,008.13,18.678,1014.309,1468.12
02/03/23,10:58:37.25,21.288,0000.00,09.495,008.13,18.692,1014.319,1468.14
02/03/23,10:58:37.30,21.293,-0000.05,09.499,008.13,18.695,1014.321,1468.16
02/03/23,10:58:37.33,21.296,0000.01,09.501,008.13,18.697,1014.322,1468.17
02/03/23,10:58:37.38,21.299,-0000.02,09.503,008.13,18.699,1014.324,1468.18
