[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=08249
date=02/03/23
time=12:59:03.15
pressureoffset=0.06
usepressureoffset=yes
slot1sensor1=micro c sensor sn 500482 02/01/22
slot1sensor2=micro c sensor sn 00/00/00
slot3sensor1=micro p&t sensor sn e00029 02/01/22
slot3sensor2=micro p&t sensor sn 400138 02/01/22

average sound velocity=1479.18
 
comments= 
 
[data]
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,12:59:03.22,06.852,-0000.09,10.483,008.10,05.339,1003.825,1455.74
02/03/23,12:59:03.24,10.991,-0000.09,10.482,008.07,08.875,1006.572,1460.03
02/03/23,12:59:03.26,24.368,-0000.03,09.654,008.10,21.576,1016.542,1472.24
02/03/23,12:59:03.29,24.373,-0000.03,09.653,008.10,21.581,1016.547,1472.25
02/03/23,12:59:03.32,24.371,-0000.02,09.653,008.10,21.580,1016.546,1472.24
02/03/23,12:59:03.35,24.369,-0000.01,09.653,008.10,21.578,1016.544,1472.24
02/03/23,12:59:03.39,24.369,-0000.03,09.653,008.10,21.578,1016.544,1472.24
02/03/23,12:59:03.43,24.366,-0000.03,09.651,008.10,21.576,1016.543,1472.23
02/03/23,12:59:03.47,24.360,-0000.02,09.651,008.10,21.570,1016.538,1472.22
02/03/23,12:59:03.51,24.357,-0000.01,09.651,008.10,21.567,1016.535,1472.22
02/03/23,12:59:03.55,24.354,-0000.02,09.651,008.10,21.564,1016.533,1472.22
02/03/23,12:59:03.59,24.352,-0000.02,09.651,008.10,21.562,1016.531,1472.22
02/03/23,12:59:03.63,24.351,-0000.02,09.651,008.10,21.561,1016.531,1472.21
02/03/23,12:59:03.67,24.354,-0000.03,09.651,008.10,21.564,1016.533,1472.22
02/03/23,12:59:03.71,24.355,-0000.02,09.651,008.10,21.565,1016.534,1472.22
02/03/23,12:59:03.75,24.351,-0000.01,09.651,008.10,21.561,1016.531,1472.21
02/03/23,12:59:03.79,24.347,-0000.03,09.651,008.10,21.557,1016.528,1472.21
02/03/23,12:59:03.83,24.344,-0000.02,09.653,008.10,21.553,1016.525,1472.21
02/03/23,12:59:03.87,24.335,-0000.01,09.653,008.10,21.544,1016.518,1472.20
02/03/23,12:59:03.91,24.334,-0000.02,09.653,008.10,21.544,1016.518,1472.20
02/03/23,12:59:03.95,24.335,-0000.03,09.651,008.10,21.546,1016.519,1472.19
02/03/23,12:59:03.99,24.336,-0000.01,09.647,008.10,21.549,1016.523,1472.18
02/03/23,12:59:04.03,24.336,-0000.02,09.644,008.10,21.551,1016.524,1472.18
02/03/23,12:59:04.07,24.332,-0000.01,09.642,008.10,21.548,1016.522,1472.16
02/03/23,12:59:04.11,24.332,-0000.01,09.641,008.07,21.549,1016.523,1472.16
02/03/23,12:59:04.15,24.333,-0000.03,09.639,008.10,21.551,1016.525,1472.16
02/03/23,12:59:04.19,24.333,-0000.02,09.639,008.10,21.551,1016.525,1472.16
02/03/23,12:59:04.23,24.332,-0000.02,09.639,008.10,21.550,1016.524,1472.15
02/03/23,12:59:04.27,24.335,-0000.02,09.640,008.10,21.553,1016.526,1472.16
