Cast  0
Minos CTD  8249
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,13:58:55.14,10.579,-0000.07,10.605,008.07,08.489,1006.257,1460.03
02/03/23,13:58:55.17,11.816,-0000.05,10.605,008.07,09.565,1007.093,1461.33
02/03/23,13:58:55.20,25.478,0000.03,09.801,008.07,22.565,1017.292,1473.99
02/03/23,13:58:55.23,25.474,0000.01,09.799,008.07,22.562,1017.289,1473.98
02/03/23,13:58:55.27,25.468,-0000.01,09.795,008.07,22.558,1017.287,1473.96
02/03/23,13:58:55.31,25.464,0000.01,09.793,008.07,22.555,1017.285,1473.95
02/03/23,13:58:55.35,25.458,-0000.02,09.790,008.07,22.551,1017.282,1473.94
02/03/23,13:58:55.39,25.452,-0000.01,09.788,008.07,22.548,1017.280,1473.92
02/03/23,13:58:55.43,25.443,-0000.01,09.784,008.07,22.541,1017.275,1473.90
02/03/23,13:58:55.47,25.435,0000.00,09.782,008.07,22.534,1017.271,1473.88
02/03/23,13:58:55.50,25.427,-0000.01,09.780,008.07,22.528,1017.266,1473.87
02/03/23,13:58:55.55,25.422,-0000.01,09.779,008.07,22.523,1017.262,1473.86
02/03/23,13:58:55.59,25.417,0000.01,09.778,008.07,22.520,1017.260,1473.85
02/03/23,13:58:55.62,25.411,-0000.01,09.776,008.07,22.515,1017.256,1473.84
02/03/23,13:58:55.67,25.406,-0000.01,09.775,008.07,22.510,1017.253,1473.83
02/03/23,13:58:55.71,25.402,0000.00,09.775,008.07,22.507,1017.250,1473.82
02/03/23,13:58:55.75,25.399,0000.01,09.773,008.07,22.505,1017.249,1473.82
02/03/23,13:58:55.78,25.393,-0000.01,09.773,008.07,22.499,1017.244,1473.81
02/03/23,13:58:55.83,25.390,0000.00,09.772,008.07,22.497,1017.242,1473.80
02/03/23,13:58:55.87,25.387,-0000.01,09.772,008.07,22.493,1017.240,1473.80
02/03/23,13:58:55.91,25.379,-0000.02,09.772,008.07,22.487,1017.234,1473.79
02/03/23,13:58:55.95,25.379,-0000.01,09.772,008.07,22.486,1017.235,1473.79
02/03/23,13:58:55.99,25.377,-0000.03,09.773,008.07,22.484,1017.232,1473.79
02/03/23,13:58:56.03,25.372,-0000.01,09.773,008.07,22.479,1017.228,1473.79
02/03/23,13:58:56.07,25.371,-0000.02,09.774,008.07,22.477,1017.227,1473.79
02/03/23,13:58:56.11,25.371,-0000.01,09.775,008.07,22.476,1017.226,1473.79
02/03/23,13:58:56.15,25.372,0000.00,09.778,008.07,22.475,1017.225,1473.80
02/03/23,13:58:56.19,25.374,-0000.02,09.784,008.07,22.474,1017.223,1473.82
02/03/23,13:58:56.23,25.374,-0000.01,09.791,008.07,22.470,1017.219,1473.84
02/03/23,13:58:56.27,25.377,0000.01,09.800,008.07,22.467,1017.216,1473.87
02/03/23,13:58:56.31,25.380,0000.00,09.808,008.07,22.465,1017.213,1473.90
02/03/23,13:58:56.34,25.386,-0000.02,09.814,008.07,22.467,1017.213,1473.92
02/03/23,13:58:56.39,25.389,0000.01,09.818,008.07,22.467,1017.213,1473.94
02/03/23,13:58:56.43,25.396,-0000.01,09.817,008.07,22.475,1017.219,1473.94
02/03/23,13:58:56.46,25.397,0000.00,09.814,008.07,22.478,1017.222,1473.94
02/03/23,13:58:56.51,25.402,-0000.01,09.808,008.07,22.486,1017.229,1473.93
02/03/23,13:58:56.55,25.403,0000.00,09.803,008.07,22.490,1017.233,1473.91
02/03/23,13:58:56.58,25.402,-0000.01,09.797,008.07,22.493,1017.236,1473.89
02/03/23,13:58:56.63,25.404,-0000.03,09.792,008.07,22.498,1017.241,1473.88
02/03/23,13:58:56.67,25.404,0000.03,09.788,008.07,22.500,1017.243,1473.87
02/03/23,13:58:56.71,25.403,0000.00,09.786,008.07,22.501,1017.244,1473.86
02/03/23,13:58:56.75,25.401,0000.00,09.784,008.07,22.500,1017.243,1473.85
02/03/23,13:58:56.79,25.399,0000.02,09.782,008.07,22.499,1017.243,1473.84
02/03/23,13:58:56.83,25.398,-0000.01,09.781,008.07,22.499,1017.243,1473.84
02/03/23,13:58:56.87,25.397,0000.01,09.778,008.07,22.499,1017.244,1473.83
02/03/23,13:58:56.91,25.399,-0000.03,09.775,008.07,22.503,1017.247,1473.82
02/03/23,13:58:56.95,25.403,0000.00,09.773,008.07,22.509,1017.252,1473.82
02/03/23,13:58:56.98,25.409,-0000.03,09.771,008.07,22.516,1017.258,1473.82
02/03/23,13:58:57.03,25.415,-0000.02,09.771,008.07,22.522,1017.263,1473.83
