[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=08249
date=02/03/23
time=10:28:45.71
pressureoffset=0.06
usepressureoffset=yes
slot1sensor1=micro c sensor sn 500482 02/01/22
slot1sensor2=micro c sensor sn 00/00/00
slot3sensor1=micro p&t sensor sn e00029 02/01/22
slot3sensor2=micro p&t sensor sn 400138 02/01/22

average sound velocity=1475.05
 
comments= 
 
[data]
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,10:28:45.78,00.855,-0000.10,11.793,008.15,00.572,0999.970,1454.94
02/03/23,10:28:45.80,09.178,-0000.11,11.791,008.15,07.055,1005.000,1462.78
02/03/23,10:28:45.83,22.720,-0000.06,09.437,008.13,20.103,1015.425,1469.63
02/03/23,10:28:45.86,22.721,-0000.07,09.439,008.15,20.103,1015.424,1469.64
02/03/23,10:28:45.89,22.721,-0000.05,09.442,008.15,20.102,1015.423,1469.65
02/03/23,10:28:45.92,22.721,-0000.05,09.446,008.15,20.099,1015.421,1469.66
02/03/23,10:28:45.96,22.721,-0000.05,09.447,008.15,20.099,1015.420,1469.67
02/03/23,10:28:46.00,22.724,-0000.05,09.446,008.15,20.102,1015.423,1469.67
02/03/23,10:28:46.04,22.724,-0000.04,09.444,008.15,20.103,1015.424,1469.66
02/03/23,10:28:46.08,22.726,-0000.03,09.441,008.15,20.107,1015.428,1469.65
02/03/23,10:28:46.12,22.724,-0000.06,09.437,008.15,20.107,1015.428,1469.64
02/03/23,10:28:46.16,22.723,-0000.08,09.435,008.15,20.107,1015.428,1469.63
02/03/23,10:28:46.20,22.721,-0000.06,09.434,008.15,20.106,1015.428,1469.62
02/03/23,10:28:46.24,22.721,-0000.07,09.433,008.15,20.107,1015.428,1469.62
02/03/23,10:28:46.28,22.720,-0000.07,09.430,008.15,20.107,1015.429,1469.61
02/03/23,10:28:46.32,22.718,-0000.05,09.427,008.15,20.107,1015.429,1469.60
02/03/23,10:28:46.36,22.716,-0000.06,09.426,008.15,20.106,1015.429,1469.59
02/03/23,10:28:46.39,22.712,-0000.03,09.426,008.15,20.102,1015.426,1469.59
