[cast header]


depthinmeters=no
seacast version= Version 4.4.0

instrumentsn=08249
date=02/03/23
time=11:28:32.13
pressureoffset=0.06
usepressureoffset=yes
slot1sensor1=micro c sensor sn 500482 02/01/22
slot1sensor2=micro c sensor sn 00/00/00
slot3sensor1=micro p&t sensor sn e00029 02/01/22
slot3sensor2=micro p&t sensor sn 400138 02/01/22

average sound velocity=1473.32
 
comments= 
 
[data]
Date (mm/dd/yy),Time,Conductivity,Pressure (dBar),Temperature (C),Battery (V),Salinity (PSU),Density (kg m-3),Calc. SV (m/s)
02/03/23,11:28:32.19,09.593,-0000.08,11.437,008.13,07.469,1005.366,1461.95
02/03/23,11:28:32.21,10.385,-0000.08,11.438,008.13,08.135,1005.881,1462.76
02/03/23,11:28:32.24,22.419,-0000.06,09.631,008.13,19.705,1015.090,1469.89
02/03/23,11:28:32.27,22.421,-0000.05,09.632,008.13,19.707,1015.091,1469.89
02/03/23,11:28:32.30,22.421,-0000.06,09.633,008.13,19.706,1015.090,1469.90
02/03/23,11:28:32.33,22.422,-0000.03,09.633,008.13,19.707,1015.091,1469.90
02/03/23,11:28:32.37,22.423,-0000.03,09.634,008.13,19.708,1015.091,1469.90
02/03/23,11:28:32.41,22.421,-0000.07,09.632,008.13,19.707,1015.090,1469.89
02/03/23,11:28:32.45,22.420,-0000.04,09.632,008.13,19.706,1015.090,1469.89
02/03/23,11:28:32.49,22.419,-0000.06,09.630,008.13,19.706,1015.090,1469.88
02/03/23,11:28:32.53,22.417,-0000.05,09.628,008.13,19.706,1015.090,1469.88
02/03/23,11:28:32.57,22.419,-0000.06,09.627,008.13,19.707,1015.092,1469.87
02/03/23,11:28:32.61,22.420,-0000.05,09.627,008.13,19.708,1015.093,1469.88
02/03/23,11:28:32.65,22.421,-0000.06,09.626,008.13,19.710,1015.094,1469.87
02/03/23,11:28:32.69,22.421,-0000.05,09.625,008.13,19.710,1015.094,1469.87
02/03/23,11:28:32.73,22.421,-0000.03,09.625,008.13,19.710,1015.095,1469.87
02/03/23,11:28:32.77,22.417,-0000.03,09.624,008.13,19.708,1015.093,1469.86
02/03/23,11:28:32.81,22.413,-0000.05,09.620,008.13,19.706,1015.092,1469.85
02/03/23,11:28:32.85,22.410,-0000.05,09.617,008.13,19.705,1015.092,1469.83
02/03/23,11:28:32.89,22.410,-0000.07,09.613,008.13,19.707,1015.094,1469.82
02/03/23,11:28:32.92,22.407,-0000.05,09.610,008.13,19.706,1015.093,1469.81
02/03/23,11:28:32.97,22.407,-0000.04,09.606,008.13,19.708,1015.095,1469.80
02/03/23,11:28:33.01,22.408,-0000.04,09.602,008.13,19.711,1015.098,1469.79
02/03/23,11:28:33.05,22.411,-0000.02,09.600,008.13,19.715,1015.102,1469.78
02/03/23,11:28:33.08,22.414,-0000.04,09.599,008.13,19.719,1015.105,1469.78
02/03/23,11:28:33.13,22.415,-0000.05,09.598,008.13,19.720,1015.106,1469.78
02/03/23,11:28:33.17,22.415,-0000.04,09.598,008.13,19.720,1015.106,1469.78
02/03/23,11:28:33.21,22.416,-0000.05,09.597,008.13,19.722,1015.107,1469.78
02/03/23,11:28:33.25,22.417,-0000.04,09.597,008.13,19.723,1015.108,1469.78
02/03/23,11:28:33.29,22.419,-0000.05,09.597,008.13,19.724,1015.109,1469.78
02/03/23,11:28:33.33,22.420,-0000.05,09.597,008.13,19.725,1015.109,1469.78
02/03/23,11:28:33.37,22.420,-0000.03,09.598,008.13,19.724,1015.109,1469.78
02/03/23,11:28:33.41,22.421,-0000.04,09.597,008.13,19.726,1015.110,1469.78
02/03/23,11:28:33.45,22.424,-0000.06,09.597,008.13,19.729,1015.113,1469.78
02/03/23,11:28:33.49,22.425,-0000.03,09.597,008.13,19.730,1015.114,1469.79
02/03/23,11:28:33.53,22.428,-0000.04,09.596,008.13,19.733,1015.116,1469.79
02/03/23,11:28:33.57,22.431,-0000.05,09.595,008.13,19.737,1015.119,1469.79
02/03/23,11:28:33.61,22.432,-0000.03,09.595,008.13,19.738,1015.120,1469.79
02/03/23,11:28:33.65,22.433,-0000.06,09.595,008.13,19.739,1015.121,1469.79
02/03/23,11:28:33.69,22.433,-0000.05,09.593,008.13,19.740,1015.122,1469.79
02/03/23,11:28:33.73,22.430,-0000.02,09.595,008.13,19.736,1015.119,1469.79
02/03/23,11:28:33.77,22.425,-0000.04,09.596,008.13,19.730,1015.114,1469.78
02/03/23,11:28:33.81,22.422,-0000.05,09.598,008.13,19.726,1015.111,1469.79
02/03/23,11:28:33.85,22.419,-0000.06,09.601,008.13,19.722,1015.106,1469.79
02/03/23,11:28:33.89,22.419,-0000.02,09.606,008.13,19.719,1015.104,1469.81
02/03/23,11:28:33.93,22.419,-0000.04,09.609,008.13,19.717,1015.102,1469.82
02/03/23,11:28:33.97,22.419,-0000.03,09.608,008.13,19.718,1015.103,1469.82
02/03/23,11:28:34.01,22.417,-0000.05,09.608,008.13,19.717,1015.102,1469.81
02/03/23,11:28:34.05,22.416,-0000.05,09.609,008.13,19.715,1015.101,1469.82
