% Device,CC1603004
% File name,CC1603004_20230203_120150
% Cast time (UTC),2023-02-03 12:01:50
% Cast time (local),2023-02-03 12:01:50
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,50.2159857
% Start longitude,-5.0277838
% Start altitude,58.569999694824219
% Start GPS horizontal error(Meter),1.8200000524520874
% Start GPS vertical error(Meter),2.7699999809265137
% Start GPS number of satellites,6
% End latitude,50.2159713
% End longitude,-5.0277218
% End altitude,52.470001220703125
% End GPS horizontal error(Meter),4.75
% End GPS vertical error(Meter),8.5699996948242188
% End GPS number of satellites,6
% Cast duration (Seconds),224
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-01-10
% Temperature calibration date,2018-12-08
% Pressure calibration date,2018-12-05
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15044501823566639,9.77400255668331,24110.525495651385,34667.458047646454,21.253689075897782,1472.3152523758895,1016.2759007443211
0.44999999999999996,0.45095212192554995,9.6577816863184012,27278.812999586975,39354.528293938143,24.417818127374542,1475.7218591934327,1018.7563159590195
0.74999999999999989,0.750757363757846,9.6681361364742529,30291.038157038896,43687.145507037763,27.397366128281792,1479.3846907267821,1021.077550479946
1.05,1.0500898118940565,9.6885020671142446,31460.957263620319,45347.817560341216,28.552479218284883,1480.8692677723273,1021.9763491308938
1.35,1.3491635136470661,9.70436044160883,32583.306215480079,46944.109905587386,29.668315964363558,1482.2898771947957,1022.8454746892198
1.65,1.6480099703526658,9.7210631794633358,33469.644428556727,48197.8968437136,30.549297161132369,1483.4281983197297,1023.531491584116
1.9500000000000002,1.9467621450853099,9.7206803387171714,33416.888775035455,48122.456773653925,30.496133221258361,1483.3670069440379,1023.4914403952358
2.1772023371287759,2.1729995412725707,9.7352134943960777,33710.206573624848,48524.542074663514,30.780465918130588,1483.7700248490705,1023.7120180037758
