% Device,CC1603004
% File name,CC1603004_20230203_143310
% Cast time (UTC),2023-02-03 14:33:10
% Cast time (local),2023-02-03 14:33:10
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,50.2160463
% Start longitude,-5.0278146
% Start altitude,39.860000610351562
% Start GPS horizontal error(Meter),10.720000267028809
% Start GPS vertical error(Meter),15.75
% Start GPS number of satellites,7
% End latitude,50.2159678
% End longitude,-5.0277805
% End altitude,56.290000915527344
% End GPS horizontal error(Meter),14.170000076293945
% End GPS vertical error(Meter),20.909999847412109
% End GPS number of satellites,5
% Cast duration (Seconds),418.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-01-10
% Temperature calibration date,2018-12-08
% Pressure calibration date,2018-12-05
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15000264566988078,9.825105860045344,28095.297247381463,40337.705447745735,25.106739011926816,1477.1758734992848,1019.2669873534824
0.44999999999999996,0.44977033505817365,9.7567590266277922,30028.869042973351,43198.603500354679,27.069178620743532,1479.3088555410643,1020.8070271219727
0.74999999999999989,0.74898926609051364,9.73501023857673,32859.586366050389,47300.383878333378,29.921760382065592,1482.7008741499965,1023.035618970644
1.05,1.0477177370100814,9.7944251784244667,34347.01899848273,49357.072034316625,31.374887975567844,1484.6912438389345,1024.1612247473991
1.35,1.3462667688806533,9.7893455548065162,34472.222861713737,49544.224405438741,31.506137291464889,1484.8374085520647,1024.2658320838355
1.65,1.6447511988619545,9.80356476000489,34914.033573053312,50158.703302104514,31.941940107273773,1485.4246409058326,1024.6050109321104
1.9500000000000002,1.9431503077997241,9.8177743040352325,35239.198816056552,50605.1858862967,32.259632259555445,1485.8680300718188,1024.8520257461755
2.25,2.2414914620445678,9.8292851613454317,35440.926344059873,50878.05589445927,32.45435490783639,1486.1518593769501,1025.0035010851764
2.55,2.5397897633592139,9.83526514798022,35626.360548531025,51135.480664766335,32.637555142447553,1486.4015678454243,1025.1468915175678
2.85,2.8380514649786113,9.8419489283091064,35768.686491867709,51329.91636814786,32.776292554072953,1486.5996841720648,1025.2554597894105
3.15,3.136278419876799,9.8506797115663058,35941.076454196053,51564.383753278518,32.943833434711941,1486.8402874769076,1025.3861776486385
3.4499999999999997,3.4344764643535859,9.8590629321092873,36034.828214571331,51686.45566398606,33.031575387591943,1486.9824364161952,1025.4546535446159
3.75,3.7326577650799244,9.8707481313983241,36105.355310187726,51770.26196016388,33.092606724907533,1487.1039939453317,1025.501726619314
4.05,4.0308256823944681,9.86874487704601,36158.565188725755,51849.536477765265,33.148555956322255,1487.1698094773444,1025.547101192539
4.35,4.3289751452590144,9.8727360474871269,36264.385456559183,51995.325814379758,33.252652097582512,1487.3159546722252,1025.6290714402983
4.6091843175364069,4.5865529980175337,9.8864721945893255,36252.798009182778,51958.245888223348,33.228052808044716,1487.3399428382886,1025.6087583957049
