       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       1096 25 May 2023 09:44:35     38.000     38.352     9.9693  36.750231     0.6067 4.5587e-01    280.414     98.498     38.000    33.6431    25.8976    1488.70 0.0000e+00
       1120 25 May 2023 09:44:41     39.000     39.362     9.9639  36.745381     0.5708 4.0324e-01    279.303     98.094     39.000    33.6428    25.8983    1488.70 0.0000e+00
       1144 25 May 2023 09:44:47     40.000     40.371     9.9597  36.743000     0.5652 3.4263e-01    279.774     98.259     40.000    33.6439    25.8998    1488.70 0.0000e+00
       1168 25 May 2023 09:44:53     41.000     41.381     9.9589  36.742651     0.5151 2.8525e-01    279.439     98.135     41.000    33.6438    25.8999    1488.71 0.0000e+00
       1192 25 May 2023 09:44:59     42.000     42.390     9.9549  36.739317     0.4552 2.3520e-01    280.580     98.525     42.000    33.6436    25.9004    1488.71 0.0000e+00
       1215 25 May 2023 09:45:05     43.000     43.399     9.9514  36.737385     0.5691 1.9707e-01    281.020     98.679     43.000    33.6445    25.9017    1488.72 0.0000e+00
       1239 25 May 2023 09:45:11     44.000     44.409     9.9508  36.737898     0.6065 1.6322e-01    280.721     98.571     44.000    33.6451    25.9023    1488.73 0.0000e+00
       1264 25 May 2023 09:45:17     45.000     45.418     9.9481  36.737072     0.5735 1.3884e-01    280.399     98.453     45.000    33.6463    25.9037    1488.74 0.0000e+00
       1288 25 May 2023 09:45:23     46.000     46.428     9.9462  36.736468     0.5155 1.1561e-01    280.185     98.372     46.000    33.6471    25.9046    1488.76 0.0000e+00
       1312 25 May 2023 09:45:29     47.000     47.437     9.9431  36.734669     0.5579 8.6622e-02    279.895     98.268     47.000    33.6476    25.9055    1488.76 0.0000e+00
       1337 25 May 2023 09:45:35     48.000     48.447     9.9426  36.734982     0.5260 7.5606e-02    279.957     98.290     48.000    33.6480    25.9059    1488.77 0.0000e+00
       1361 25 May 2023 09:45:41     49.000     49.456     9.9422  36.735757     0.5618 6.3746e-02    279.992     98.302     49.000    33.6486    25.9065    1488.79 0.0000e+00
       1387 25 May 2023 09:45:48     50.000     50.465     9.9417  36.736915     0.5897 5.9465e-02    279.812     98.237     50.000    33.6498    25.9075    1488.81 0.0000e+00
       1430 25 May 2023 09:45:58     51.000     51.475     9.9414  36.738350     0.5005 5.5081e-02    279.935     98.282     51.000    33.6512    25.9086    1488.82 0.0000e+00
       1484 25 May 2023 09:46:12     50.000     50.465     9.9424  36.738425     0.5115 5.7177e-02    280.484     98.477     50.000    33.6507    25.9081    1488.81 0.0000e+00
       1516 25 May 2023 09:46:20     49.000     49.456     9.9430  36.737761     0.5060 6.3655e-02    280.397     98.446     49.000    33.6499    25.9074    1488.80 0.0000e+00
       1548 25 May 2023 09:46:28     48.000     48.446     9.9432  36.736266     0.4945 7.1457e-02    278.107     97.643     48.000    33.6487    25.9064    1488.78 0.0000e+00
       1579 25 May 2023 09:46:36     47.000     47.437     9.9446  36.736168     0.4976 8.6871e-02    276.868     97.209     47.000    33.6478    25.9054    1488.77 0.0000e+00
       1611 25 May 2023 09:46:43     46.000     46.428     9.9444  36.735228     0.4918 1.0968e-01    277.455     97.415     46.000    33.6474    25.9052    1488.75 0.0000e+00
       1642 25 May 2023 09:46:51     45.000     45.418     9.9450  36.735102     0.4577 1.3170e-01    276.970     97.248     45.000    33.6472    25.9049    1488.73 0.0000e+00
       1673 25 May 2023 09:46:59     44.000     44.409     9.9469  36.735844     0.4676 1.5845e-01    277.557     97.460     44.000    33.6467    25.9042    1488.72 0.0000e+00
       1704 25 May 2023 09:47:07     43.000     43.399     9.9510  36.738862     0.4754 1.9061e-01    277.519     97.454     43.000    33.6463    25.9032    1488.72 0.0000e+00
       1735 25 May 2023 09:47:14     42.000     42.390     9.9543  36.741135     0.4830 2.3056e-01    277.841     97.574     42.000    33.6460    25.9024    1488.72 0.0000e+00
       1765 25 May 2023 09:47:22     41.000     41.381     9.9576  36.743305     0.5003 2.8500e-01    277.621     97.502     41.000    33.6456    25.9016    1488.71 0.0000e+00
       1796 25 May 2023 09:47:30     40.000     40.371     9.9596  36.744345     0.4963 3.5418e-01    277.987     97.637     40.000    33.6453    25.9010    1488.70 0.0000e+00
       1827 25 May 2023 09:47:38     39.000     39.362     9.9633  36.746808     0.4731 4.3131e-01    278.311     97.758     39.000    33.6448    25.8999    1488.70 0.0000e+00
       1859 25 May 2023 09:47:46     38.000     38.352     9.9670  36.749371     0.4694 5.2526e-01    278.370     97.789     38.000    33.6444    25.8991    1488.69 0.0000e+00
       1890 25 May 2023 09:47:53     37.000     37.343     9.9724  36.753613     0.4626 6.4822e-01    278.424     97.817     37.000    33.6442    25.8980    1488.70 0.0000e+00
       1920 25 May 2023 09:48:01     36.000     36.334     9.9767  36.756934     0.4752 7.9181e-01    278.782     97.952     36.000    33.6440    25.8971    1488.69 0.0000e+00
       1950 25 May 2023 09:48:08     35.000     35.324     9.9805  36.759713     0.4996 9.6876e-01    279.136     98.087     35.000    33.6437    25.8963    1488.69 0.0000e+00
       1980 25 May 2023 09:48:16     34.000     34.315     9.9869  36.764762     0.5241 1.1789e+00    279.290     98.154     34.000    33.6434    25.8949    1488.70 0.0000e+00
       2010 25 May 2023 09:48:23     33.000     33.306     9.9910  36.767404     0.4967 1.4257e+00    279.385     98.189     33.000    33.6427    25.8937    1488.69 0.0000e+00
       2040 25 May 2023 09:48:31     32.000     32.296     9.9915  36.767394     0.5250 1.7320e+00    279.512     98.238     32.000    33.6426    25.8935    1488.68 0.0000e+00
       2069 25 May 2023 09:48:38     31.000     31.287     9.9936  36.768570     0.4977 2.0641e+00    279.071     98.086     31.000    33.6423    25.8929    1488.67 0.0000e+00
       2099 25 May 2023 09:48:46     30.000     30.278     9.9952  36.769243     0.4943 2.4810e+00    279.625     98.285     30.000    33.6420    25.8924    1488.66 0.0000e+00
       2129 25 May 2023 09:48:53     29.000     29.268     9.9978  36.770837     0.5819 2.9855e+00    279.950     98.405     29.000    33.6417    25.8917    1488.65 0.0000e+00
       2158 25 May 2023 09:49:00     28.000     28.259    10.0002  36.772041     0.4977 3.5194e+00    280.154     98.478     28.000    33.6411    25.8909    1488.64 0.0000e+00
       2187 25 May 2023 09:49:08     27.000     27.250    10.0000  36.771467     0.4617 4.1716e+00    279.698     98.317     27.000    33.6412    25.8909    1488.62 0.0000e+00
