       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
         38 25 May 2023 10:28:07      0.135      0.136    12.8025   0.011979     0.0195 1.3589e+03    281.831    101.574      0.135     0.0117    -0.5872    1458.05 0.0000e+00
         39 25 May 2023 10:28:08      0.136      0.137    12.8026   0.019012     0.0265 5.1885e+02    283.380    101.887      0.136     0.0155    -0.5843    1458.05 0.0000e+00
         40 25 May 2023 10:28:08      0.138      0.139    12.8025   0.030729     0.0116 2.7989e+02    285.613    102.564      0.138     0.0220    -0.5792    1458.06 0.0000e+00
         41 25 May 2023 10:28:08      0.140      0.141    12.8023   0.050253     0.0334 2.8229e+02    288.500    103.499      0.140     0.0333    -0.5703    1458.07 0.0000e+00
         42 25 May 2023 10:28:08      0.143      0.144    12.8018   0.082795     0.0195 2.8715e+02    292.472    104.866      0.143     0.0527    -0.5551    1458.09 0.0000e+00
         43 25 May 2023 10:28:08      0.146      0.148    12.8008   0.137030     0.0285 2.8752e+02    297.123    106.590      0.146     0.0858    -0.5291    1458.13 0.0000e+00
         44 25 May 2023 10:28:09      0.151      0.152    12.7991   0.227420     0.0175 2.8696e+02    302.762    108.547      0.151     0.1426    -0.4846    1458.20 0.0000e+00
         45 25 May 2023 10:28:09      0.156      0.158    12.7961   0.378075     0.0265 3.0972e+02    308.546    110.486      0.156     0.2394    -0.4086    1458.30 0.0000e+00
         46 25 May 2023 10:28:09      0.163      0.165    12.7909   0.629165     0.0066 3.1354e+02    313.739    112.258      0.163     0.4050    -0.2789    1458.49 0.0000e+00
         47 25 May 2023 10:28:09      0.172      0.174    12.7821   1.047642     0.0126 7.4826e+02    317.677    113.633      0.172     0.6887    -0.0569    1458.80 0.0000e+00
         48 25 May 2023 10:28:09      0.183      0.185    12.7673   1.745101     0.0334 1.1742e+03    320.225    114.514      0.183     1.1762     0.3238    1459.34 0.0000e+00
         49 25 May 2023 10:28:11      0.198      0.200    12.7424   2.907532     0.0215 1.1073e+03    321.783    115.040      0.198     2.0168     0.9792    1460.27 0.0000e+00
         50 25 May 2023 10:28:11      0.216      0.218    12.7010   4.844923     0.0166 1.2598e+03    321.984    115.089      0.216     3.4732     2.1123    1461.87 0.0000e+00
         51 25 May 2023 10:28:11      0.240      0.242    12.6318   8.073916     0.0304 5.8864e+02    321.294    114.829      0.240     6.0100     4.0817    1464.65 0.0000e+00
         52 25 May 2023 10:28:11      0.271      0.273    12.5164  13.438194     0.0364 2.9088e+02    320.059    114.379      0.271    10.4419     7.5168    1469.50 0.0000e+00
         53 25 May 2023 10:28:11      0.310      0.313    12.3309  20.502747     0.0225 2.8973e+02    318.518    113.823      0.310    16.6085    12.3002    1476.13 0.0000e+00
         54 25 May 2023 10:28:12      0.361      0.364    12.0783  26.837324     0.0245 2.9446e+02    316.817    113.214      0.361    22.4544    16.8550    1482.16 0.0000e+00
         55 25 May 2023 10:28:12      0.423      0.427    11.8081  31.027243     0.0175 1.2852e+03    314.990    112.565      0.423    26.5370    20.0596    1486.07 0.0000e+00
         56 25 May 2023 10:28:12      0.497      0.502    11.5707  33.549145     0.0314 1.6527e+03    313.771    112.140      0.497    29.1182    22.1016    1488.31 0.0000e+00
         57 25 May 2023 10:28:12      0.579      0.584    11.3833  35.071140     0.0255 1.2450e+03    312.349    111.650      0.579    30.7416    23.3947    1489.60 0.0000e+00
         58 25 May 2023 10:28:12      0.665      0.671    11.2431  35.993114     0.0265 1.2256e+03    311.350    111.313      0.665    31.7609    24.2115    1490.33 0.0000e+00
         59 25 May 2023 10:28:12      0.752      0.759    11.1400  36.554901     0.0195 1.4033e+03    309.215    110.569      0.752    32.4030    24.7290    1490.75 0.0000e+00
         60 25 May 2023 10:28:13      0.835      0.843    11.0642  36.903076     0.0255 9.1405e+02    303.932    108.683      0.835    32.8141    25.0623    1490.98 0.0000e+00
         61 25 May 2023 10:28:13      0.913      0.921    11.0079  37.115532     0.0136 1.1232e+03    300.251    107.355      0.913    33.0749    25.2753    1491.09 0.0000e+00
         62 25 May 2023 10:28:13      0.981      0.990    10.9655  37.227257     0.0285 6.2254e+02    297.387    106.323      0.981    33.2241    25.3989    1491.13 0.0000e+00
         63 25 May 2023 10:28:13      1.038      1.047    10.9326  37.270775     0.0334 1.0219e+03    294.057    105.129      1.038    33.2973    25.4617    1491.10 0.0000e+00
         64 25 May 2023 10:28:13      1.084      1.094    10.9069  37.281384     0.0294 7.4126e+02    289.444    103.472      1.084    33.3311    25.4926    1491.05 0.0000e+00
         65 25 May 2023 10:28:15      1.121      1.131    10.8875  37.279633     0.0265 8.7684e+02    283.700    101.405      1.121    33.3470    25.5084    1491.00 0.0000e+00
         66 25 May 2023 10:28:15      1.150      1.161    10.8731  37.272423     0.0285 1.2280e+03    276.621     98.866      1.150    33.3529    25.5156    1490.96 0.0000e+00
         67 25 May 2023 10:28:15      1.173      1.184    10.8623  37.263279     0.0285 5.6766e+02    269.668     96.381      1.173    33.3537    25.5181    1490.92 0.0000e+00
         68 25 May 2023 10:28:15      1.191      1.202    10.8539  37.255466     0.0215 7.6968e+02    262.857     93.952      1.191    33.3535    25.5194    1490.89 0.0000e+00
         69 25 May 2023 10:28:15      1.205      1.216    10.8475  37.250763    -0.0043 8.5712e+02    255.957     91.467      1.205    33.3547    25.5214    1490.87 0.0000e+00
         70 25 May 2023 10:28:16      1.215      1.226    10.8426  37.249302     0.0156 1.2908e+03    250.965     89.663      1.215    33.3576    25.5246    1490.86 0.0000e+00
         71 25 May 2023 10:28:16      1.222      1.234    10.8392  37.250759     0.0255 9.7029e+02    247.122     88.287      1.222    33.3622    25.5288    1490.85 0.0000e+00
         72 25 May 2023 10:28:16      1.228      1.239    10.8370  37.255405     0.0195 7.9709e+02    244.757     87.448      1.228    33.3689    25.5344    1490.85 0.0000e+00
         73 25 May 2023 10:28:16      1.232      1.243    10.8357  37.263664     0.0215 7.5550e+02    242.977     86.817      1.232    33.3783    25.5419    1490.86 0.0000e+00
         74 25 May 2023 10:28:16      1.236      1.247    10.8353  37.275166     0.0265 7.6448e+02    241.532     86.300      1.236    33.3902    25.5512    1490.87 0.0000e+00
         75 25 May 2023 10:28:16      1.240      1.251    10.8355  37.288578     0.0195 2.0295e+03    240.206     85.823      1.240    33.4033    25.5614    1490.89 0.0000e+00
         76 25 May 2023 10:28:17      1.243      1.255    10.8362  37.301826     0.0235 1.4612e+03    238.317     85.147      1.243    33.4159    25.5711    1490.91 0.0000e+00
         77 25 May 2023 10:28:17      1.246      1.258    10.8367  37.312183     0.0195 9.3181e+02    236.448     84.480      1.246    33.4257    25.5787    1490.92 0.0000e+00
         78 25 May 2023 10:28:17      1.249      1.260    10.8368  37.317478     0.0175 5.7780e+02    234.444     83.766      1.249    33.4309    25.5827    1490.93 0.0000e+00
         79 25 May 2023 10:28:17      1.250      1.262    10.8363  37.318142     0.0195 6.4232e+02    233.092     83.287      1.250    33.4320    25.5836    1490.93 0.0000e+00
         80 25 May 2023 10:28:17      1.251      1.263    10.8353  37.316414     0.0265 7.5253e+02    232.081     82.928      1.251    33.4313    25.5832    1490.92 0.0000e+00
         81 25 May 2023 10:28:18      1.251      1.263    10.8339  37.313351     0.0324 7.0969e+02    231.450     82.701      1.251    33.4295    25.5821    1490.91 0.0000e+00
         82 25 May 2023 10:28:18      1.251      1.263    10.8323  37.308693     0.0175 1.3447e+03    230.842     82.478      1.251    33.4263    25.5799    1490.90 0.0000e+00
         83 25 May 2023 10:28:18      1.251      1.263    10.8308  37.302773     0.0185 1.3185e+03    230.114     82.213      1.251    33.4218    25.5767    1490.89 0.0000e+00
