       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        164 25 May 2023 12:43:18      1.000      1.009    12.4266  37.827626     0.0188 1.4090e+03    269.389     99.138      1.000    32.5154    24.5796    1495.33 0.0000e+00
        407 25 May 2023 12:44:18      2.000      2.018    12.3664  37.742962     0.0058 2.9754e+02    292.815    107.095      2.000    32.4858    24.5680    1495.11 0.0000e+00
        427 25 May 2023 12:44:23      3.000      3.028    12.1510  37.654593     0.0054 2.7953e+02    293.867    107.364      3.000    32.5876    24.6877    1494.51 0.0000e+00
        449 25 May 2023 12:44:29      4.000      4.037    12.0851  37.629980     0.0041 4.2559e+02    293.408    106.798      4.000    32.6210    24.7260    1494.34 0.0000e+00
        471 25 May 2023 12:44:34      5.000      5.046    11.8731  37.537097     0.0043 3.9421e+02    293.600    106.545      5.000    32.7165    24.8397    1493.74 0.0000e+00
        493 25 May 2023 12:44:40      6.000      6.055    11.7169  37.457255     0.6734 3.3235e+02    293.954    106.378      6.000    32.7761    24.9148    1493.29 0.0000e+00
        515 25 May 2023 12:44:45      7.000      7.064    11.5695  37.378938     1.3830 2.6686e+02    297.759    107.478      7.000    32.8297    24.9834    1492.86 0.0000e+00
        536 25 May 2023 12:44:51      8.000      8.074    11.4495  37.321426     1.9654 2.0336e+02    297.623    107.339      8.000    32.8795    25.0440    1492.52 0.0000e+00
        558 25 May 2023 12:44:56      9.000      9.083    11.3971  37.287833     2.1093 1.6046e+02    299.671    107.798      9.000    32.8928    25.0638    1492.37 0.0000e+00
        580 25 May 2023 12:45:02     10.000     10.092    11.2460  37.220724     2.4226 1.2011e+02    299.779    107.516     10.000    32.9613    25.1443    1491.94 0.0000e+00
        601 25 May 2023 12:45:07     11.000     11.101    11.0942  37.153694     2.5381 7.1611e+01    293.390    104.998     11.000    33.0307    25.2255    1491.51 0.0000e+00
        623 25 May 2023 12:45:13     12.000     12.111    10.9864  37.104240     1.5809 7.3798e+01    288.467    103.172     12.000    33.0783    25.2817    1491.21 0.0000e+00
        646 25 May 2023 12:45:18     13.000     13.120    10.9639  37.085355     1.2909 5.0700e+01    287.931    102.919     13.000    33.0794    25.2866    1491.14 0.0000e+00
        668 25 May 2023 12:45:24     14.000     14.129    10.9371  37.060085     1.2425 3.7534e+01    285.862    102.155     14.000    33.0781    25.2903    1491.07 0.0000e+00
        691 25 May 2023 12:45:30     15.000     15.138    10.9212  37.059195     1.0914 2.5238e+01    281.753    100.619     15.000    33.0911    25.3032    1491.04 0.0000e+00
        715 25 May 2023 12:45:35     16.000     16.148    10.8858  37.031396     0.7885 2.2409e+01    279.200     99.597     16.000    33.0950    25.3125    1490.94 0.0000e+00
        738 25 May 2023 12:45:41     17.000     17.157    10.8303  36.974289     0.6537 2.0682e+01    271.815     96.890     17.000    33.0879    25.3167    1490.75 0.0000e+00
        762 25 May 2023 12:45:47     18.000     18.166    10.8057  36.957536     0.5110 1.8511e+01    266.517     94.993     18.000    33.0930    25.3250    1490.69 0.0000e+00
        784 25 May 2023 12:45:53     19.000     19.175    10.8035  36.958550     0.5121 1.4053e+01    266.342     94.934     19.000    33.0956    25.3275    1490.70 0.0000e+00
        805 25 May 2023 12:45:58     20.000     20.185    10.8045  36.963553     0.5620 1.1720e+01    264.134     94.170     20.000    33.0993    25.3301    1490.72 0.0000e+00
        827 25 May 2023 12:46:04     21.000     21.194    10.8164  36.982198     0.6664 8.9894e+00    264.534     94.339     21.000    33.1066    25.3338    1490.79 0.0000e+00
        849 25 May 2023 12:46:09     22.000     22.203    10.8267  36.994973     0.6650 6.6675e+00    267.898     95.547     22.000    33.1096    25.3343    1490.85 0.0000e+00
        871 25 May 2023 12:46:14     23.000     23.213    10.8291  36.997896     0.7920 4.7922e+00    264.582     94.361     23.000    33.1099    25.3341    1490.87 0.0000e+00
        915 25 May 2023 12:46:26     24.000     24.222    10.8317  37.000675     0.9489 3.2531e+00    262.172     93.515     24.000    33.1099    25.3336    1490.90 0.0000e+00
        953 25 May 2023 12:46:35     23.000     23.213    10.8354  37.003177     0.9573 4.8524e+00    262.271     93.554     23.000    33.1095    25.3327    1490.90 0.0000e+00
        978 25 May 2023 12:46:41     22.000     22.203    10.8370  37.004480     0.7611 6.7929e+00    264.065     94.196     22.000    33.1097    25.3326    1490.88 0.0000e+00
        998 25 May 2023 12:46:46     21.000     21.194    10.8374  37.003903     0.6497 9.4119e+00    264.497     94.341     21.000    33.1092    25.3321    1490.87 0.0000e+00
       1018 25 May 2023 12:46:51     20.000     20.185    10.8328  36.996305     0.6273 1.0880e+01    264.758     94.407     20.000    33.1062    25.3306    1490.83 0.0000e+00
       1038 25 May 2023 12:46:56     19.000     19.175    10.8213  36.981208     0.4989 8.7760e+00    266.076     94.860     19.000    33.1021    25.3293    1490.77 0.0000e+00
       1057 25 May 2023 12:47:01     18.000     18.166    10.8138  36.970896     0.5111 1.0584e+01    269.522     96.079     18.000    33.0990    25.3283    1490.72 0.0000e+00
       1077 25 May 2023 12:47:06     17.000     17.157    10.8097  36.964240     0.5264 1.2782e+01    269.100     95.923     17.000    33.0965    25.3270    1490.69 0.0000e+00
       1098 25 May 2023 12:47:11     16.000     16.148    10.8080  36.961513     0.5694 1.4066e+01    270.127     96.294     16.000    33.0958    25.3268    1490.66 0.0000e+00
       1118 25 May 2023 12:47:16     15.000     15.138    10.8108  36.963497     0.6464 1.6613e+01    271.820     96.922     15.000    33.0956    25.3262    1490.66 0.0000e+00
       1138 25 May 2023 12:47:21     14.000     14.129    10.8245  36.977060     0.8429 1.9925e+01    274.692     98.016     14.000    33.0972    25.3250    1490.69 0.0000e+00
       1158 25 May 2023 12:47:26     13.000     13.120    10.8581  37.010609     1.0591 2.6796e+01    279.949     99.968     13.000    33.1006    25.3218    1490.80 0.0000e+00
       1178 25 May 2023 12:47:31     12.000     12.110    10.8929  37.036687     1.1871 3.2475e+01    282.593    100.954     12.000    33.0957    25.3118    1490.90 0.0000e+00
       1197 25 May 2023 12:47:36     11.000     11.101    10.9125  37.051736     1.2788 4.6197e+01    281.701    100.690     11.000    33.0933    25.3065    1490.95 0.0000e+00
       1216 25 May 2023 12:47:41     10.000     10.092    10.9400  37.077670     2.1582 5.2104e+01    285.329    102.123     10.000    33.0947    25.3027    1491.03 0.0000e+00
       1235 25 May 2023 12:47:46      9.000      9.083    11.0062  37.117194     2.4243 5.8862e+01    289.549    103.736      9.000    33.0746    25.2753    1491.22 0.0000e+00
       1255 25 May 2023 12:47:51      8.000      8.074    11.0674  37.154919     1.9563 7.3252e+01    291.465    104.864      8.000    33.0573    25.2510    1491.40 0.0000e+00
