       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        191 25 May 2023 09:11:55      1.000      1.009    11.1865  35.882460     0.5507 2.4617e+02    272.352     96.981      1.000    31.7010    24.1750    1490.07 0.0000e+00
        375 25 May 2023 09:12:40      2.000      2.018    11.0788  36.078767     0.7224 1.2907e+02    307.525    109.575      2.000    31.9867    24.4161    1490.05 0.0000e+00
        390 25 May 2023 09:12:44      3.000      3.027    11.0560  36.294936     0.8155 9.4293e+01    309.163    110.336      3.000    32.2195    24.6012    1490.27 0.0000e+00
        409 25 May 2023 09:12:49      4.000      4.037    10.9645  36.756882     0.9055 9.3854e+01    310.936    110.841      4.000    32.7571    25.0356    1490.61 0.0000e+00
        429 25 May 2023 09:12:54      5.000      5.046    10.8291  36.882757     1.1901 1.9712e+02    307.324    109.442      5.000    33.0031    25.2509    1490.44 0.0000e+00
        448 25 May 2023 09:12:59      6.000      6.055    10.7765  36.872429     1.4993 2.0297e+02    307.077    109.249      6.000    33.0398    25.2887    1490.32 0.0000e+00
        467 25 May 2023 09:13:03      7.000      7.065    10.7300  36.828719     1.5002 1.6379e+02    305.237    108.408      7.000    33.0378    25.2953    1490.17 0.0000e+00
        486 25 May 2023 09:13:08      8.000      8.074    10.6398  36.791857     1.4544 1.3177e+02    302.124    107.274      8.000    33.0822    25.3456    1489.92 0.0000e+00
        504 25 May 2023 09:13:13      9.000      9.083    10.6183  36.805678     1.3934 1.0414e+02    301.190    106.878      9.000    33.1151    25.3750    1489.90 0.0000e+00
        523 25 May 2023 09:13:18     10.000     10.092    10.5788  36.806930     1.5951 8.1562e+01    298.623    105.875     10.000    33.1518    25.4104    1489.82 0.0000e+00
        542 25 May 2023 09:13:22     11.000     11.101    10.5212  36.806896     1.2379 6.4377e+01    296.386    104.834     11.000    33.2039    25.4610    1489.69 0.0000e+00
        561 25 May 2023 09:13:27     12.000     12.111    10.3818  36.777816     1.1339 5.2166e+01    291.205    102.847     12.000    33.3016    25.5611    1489.33 0.0000e+00
        580 25 May 2023 09:13:32     13.000     13.120    10.2939  36.761509     0.9074 4.3673e+01    290.576    102.441     13.000    33.3653    25.6259    1489.11 0.0000e+00
        599 25 May 2023 09:13:37     14.000     14.129    10.1877  36.729129     0.8979 3.6737e+01    286.536    100.852     14.000    33.4300    25.6944    1488.83 0.0000e+00
        619 25 May 2023 09:13:41     15.000     15.138    10.1050  36.702050     0.6738 3.0111e+01    285.276    100.372     15.000    33.4785    25.7462    1488.61 0.0000e+00
        638 25 May 2023 09:13:46     16.000     16.148    10.0858  36.697625     0.6645 2.4678e+01    285.045    100.278     16.000    33.4913    25.7595    1488.57 0.0000e+00
        657 25 May 2023 09:13:51     17.000     17.157    10.0776  36.697447     0.6737 2.0493e+01    284.617    100.095     17.000    33.4983    25.7663    1488.57 0.0000e+00
        676 25 May 2023 09:13:56     18.000     18.166    10.0595  36.694506     0.5145 1.7200e+01    282.418     99.286     18.000    33.5116    25.7798    1488.53 0.0000e+00
        695 25 May 2023 09:14:00     19.000     19.175    10.0390  36.689662     0.6439 1.4313e+01    280.128     98.446     19.000    33.5253    25.7939    1488.49 0.0000e+00
        713 25 May 2023 09:14:05     20.000     20.185    10.0186  36.684753     0.5654 1.1759e+01    279.830     98.302     20.000    33.5387    25.8079    1488.45 0.0000e+00
        732 25 May 2023 09:14:10     21.000     21.194     9.9947  36.684256     0.6218 9.6412e+00    279.050     98.023     21.000    33.5600    25.8285    1488.41 0.0000e+00
        751 25 May 2023 09:14:14     22.000     22.203     9.9914  36.685492     0.6119 7.7621e+00    278.765     97.921     22.000    33.5639    25.8321    1488.42 0.0000e+00
        769 25 May 2023 09:14:19     23.000     23.213     9.9898  36.686963     0.5052 6.3100e+00    278.672     97.888     23.000    33.5664    25.8343    1488.43 0.0000e+00
        788 25 May 2023 09:14:24     24.000     24.222     9.9889  36.688861     0.6219 5.1036e+00    279.325     98.118     24.000    33.5688    25.8363    1488.45 0.0000e+00
        807 25 May 2023 09:14:28     25.000     25.231     9.9890  36.690125     0.5797 4.1582e+00    279.417     98.150     25.000    33.5695    25.8369    1488.47 0.0000e+00
        825 25 May 2023 09:14:33     26.000     26.240     9.9886  36.690725     0.5949 3.3752e+00    279.390     98.138     26.000    33.5700    25.8373    1488.48 0.0000e+00
        844 25 May 2023 09:14:38     27.000     27.250     9.9874  36.690702     0.6154 2.7441e+00    279.227     98.079     27.000    33.5706    25.8380    1488.49 0.0000e+00
        862 25 May 2023 09:14:42     28.000     28.259     9.9865  36.691425     0.5846 2.2372e+00    279.488     98.172     28.000    33.5717    25.8390    1488.51 0.0000e+00
        882 25 May 2023 09:14:47     29.000     29.268     9.9859  36.693131     0.6760 1.8455e+00    281.444     98.845     29.000    33.5736    25.8406    1488.53 0.0000e+00
        900 25 May 2023 09:14:52     30.000     30.278     9.9783  36.690092     0.6150 1.5036e+00    279.180     98.042     30.000    33.5771    25.8446    1488.52 0.0000e+00
        919 25 May 2023 09:14:56     31.000     31.287     9.9731  36.693214     0.6229 1.2332e+00    279.874     98.284     31.000    33.5847    25.8514    1488.52 0.0000e+00
        938 25 May 2023 09:15:01     32.000     32.296     9.9697  36.697733     0.6508 1.0085e+00    279.820     98.259     32.000    33.5920    25.8576    1488.54 0.0000e+00
        957 25 May 2023 09:15:06     33.000     33.306     9.9657  36.699339     0.7061 8.2114e-01    280.591     98.513     33.000    33.5970    25.8622    1488.55 0.0000e+00
