       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
         86 25 May 2023 10:08:50      1.000      1.009    11.6107  37.370983     1.5275 9.4957e+02    216.748     78.778      1.000    32.7887    24.9444    1492.86 0.0000e+00
        236 25 May 2023 10:09:28      2.000      2.018    11.1842  37.035284     0.3525 6.7308e+02    312.211    111.472      2.000    32.8371    25.0588    1491.44 0.0000e+00
        249 25 May 2023 10:09:31      3.000      3.028    10.9251  36.906674     0.4297 5.7703e+02    305.655    108.865      3.000    32.9413    25.1859    1490.68 0.0000e+00
        268 25 May 2023 10:09:36      4.000      4.037    10.7992  36.832217     0.3752 4.1077e+02    304.423    108.350      4.000    32.9801    25.2383    1490.29 0.0000e+00
        288 25 May 2023 10:09:41      5.000      5.046    10.7470  36.849783     0.4508 3.4717e+02    302.379    107.532      5.000    33.0444    25.2975    1490.20 0.0000e+00
        308 25 May 2023 10:09:46      6.000      6.055    10.6912  36.867736     0.6382 2.9363e+02    299.305    106.457      6.000    33.1124    25.3601    1490.11 0.0000e+00
        328 25 May 2023 10:09:51      7.000      7.064    10.6932  36.899243     0.7863 2.4652e+02    297.911    105.996      7.000    33.1416    25.3825    1490.16 0.0000e+00
        348 25 May 2023 10:09:56      8.000      8.074    10.7072  36.916283     0.8331 1.9804e+02    297.877    105.895      8.000    33.1455    25.3832    1490.23 0.0000e+00
        367 25 May 2023 10:10:01      9.000      9.083    10.6278  36.903010     0.9495 1.5815e+02    293.392    103.798      9.000    33.2041    25.4426    1490.04 0.0000e+00
        387 25 May 2023 10:10:06     10.000     10.092    10.3675  36.831097     0.8229 1.2649e+02    289.779    102.434     10.000    33.3693    25.6164    1489.33 0.0000e+00
        407 25 May 2023 10:10:11     11.000     11.101    10.3289  36.822950     0.7566 1.0276e+02    290.765    102.724     11.000    33.3961    25.6439    1489.24 0.0000e+00
        428 25 May 2023 10:10:16     12.000     12.111    10.2875  36.807790     0.7448 8.5164e+01    290.277    102.368     12.000    33.4185    25.6684    1489.14 0.0000e+00
        448 25 May 2023 10:10:21     13.000     13.120    10.1946  36.778866     0.7641 6.9823e+01    289.328    101.987     13.000    33.4745    25.7279    1488.89 0.0000e+00
        467 25 May 2023 10:10:25     14.000     14.129    10.1715  36.771191     0.7860 5.7667e+01    289.333    101.955     14.000    33.4876    25.7421    1488.84 0.0000e+00
        487 25 May 2023 10:10:30     15.000     15.138    10.1549  36.765846     0.8521 4.7875e+01    289.510    102.001     15.000    33.4971    25.7523    1488.81 0.0000e+00
        506 25 May 2023 10:10:35     16.000     16.148    10.1447  36.764229     0.9112 3.9808e+01    290.086    102.180     16.000    33.5044    25.7597    1488.80 0.0000e+00
        526 25 May 2023 10:10:40     17.000     17.157    10.1321  36.762399     0.9063 3.3101e+01    289.168    101.848     17.000    33.5137    25.7692    1488.78 0.0000e+00
        547 25 May 2023 10:10:45     18.000     18.166    10.1269  36.761872     0.8134 2.7420e+01    289.262    101.859     18.000    33.5176    25.7730    1488.78 0.0000e+00
        567 25 May 2023 10:10:51     19.000     19.175    10.1143  36.755730     0.9944 2.2807e+01    288.077    101.418     19.000    33.5226    25.7791    1488.76 0.0000e+00
        587 25 May 2023 10:10:56     20.000     20.185    10.1012  36.754320     1.1112 1.8957e+01    285.004    100.282     20.000    33.5329    25.7893    1488.74 0.0000e+00
        608 25 May 2023 10:11:01     21.000     21.194    10.0648  36.749932     1.0076 1.5791e+01    282.557     99.372     21.000    33.5617    25.8180    1488.66 0.0000e+00
        629 25 May 2023 10:11:06     22.000     22.203    10.0373  36.748913     0.8489 1.3170e+01    283.130     99.550     22.000    33.5858    25.8414    1488.61 0.0000e+00
        649 25 May 2023 10:11:11     23.000     23.212    10.0239  36.747305     0.8161 1.1011e+01    284.464     99.994     23.000    33.5961    25.8517    1488.59 0.0000e+00
