       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       1244 25 May 2023 08:56:28     38.000     38.353     9.8931  36.673591     0.5307 4.4263e-01    276.828     97.066     38.000    33.6360    25.9048    1488.42 0.0000e+00
       1258 25 May 2023 08:56:31     39.000     39.362     9.8869  36.669087     0.4826 3.7204e-01    275.963     96.747     39.000    33.6367    25.9064    1488.41 0.0000e+00
       1273 25 May 2023 08:56:35     40.000     40.371     9.8817  36.664250     0.4522 3.1340e-01    275.915     96.711     40.000    33.6362    25.9069    1488.41 0.0000e+00
       1288 25 May 2023 08:56:39     41.000     41.381     9.8716  36.656303     0.5092 2.6965e-01    275.549     96.568     41.000    33.6371    25.9093    1488.39 0.0000e+00
       1302 25 May 2023 08:56:42     42.000     42.390     9.8647  36.651127     0.4326 2.2947e-01    275.097     96.394     42.000    33.6378    25.9110    1488.38 0.0000e+00
       1318 25 May 2023 08:56:46     43.000     43.399     9.8557  36.645787     0.4114 1.9446e-01    273.682     95.888     43.000    33.6402    25.9144    1488.37 0.0000e+00
       1332 25 May 2023 08:56:50     44.000     44.409     9.8497  36.642924     0.4327 1.6509e-01    273.159     95.680     44.000    33.6425    25.9172    1488.37 0.0000e+00
       1348 25 May 2023 08:56:54     45.000     45.418     9.8397  36.634613     0.4402 1.3959e-01    271.059     94.940     45.000    33.6429    25.9191    1488.35 0.0000e+00
       1375 25 May 2023 08:57:01     46.000     46.428     9.8277  36.630606     0.5340 1.1454e-01    272.238     95.362     46.000    33.6495    25.9264    1488.33 0.0000e+00
       1384 25 May 2023 08:57:03     45.000     45.418     9.8382  36.635655     0.4394 1.4016e-01    271.741     95.195     45.000    33.6454    25.9213    1488.35 0.0000e+00
       1407 25 May 2023 08:57:08     44.000     44.409     9.8436  36.640666     0.4159 1.5946e-01    272.717     95.553     44.000    33.6459    25.9209    1488.35 0.0000e+00
       1429 25 May 2023 08:57:14     43.000     43.399     9.8506  36.644956     0.4381 1.8991e-01    273.473     95.827     43.000    33.6442    25.9183    1488.36 0.0000e+00
       1449 25 May 2023 08:57:19     42.000     42.390     9.8560  36.648070     0.4504 2.2452e-01    274.299     96.130     42.000    33.6428    25.9164    1488.36 0.0000e+00
       1469 25 May 2023 08:57:24     41.000     41.381     9.8629  36.652349     0.3854 2.6144e-01    274.812     96.327     41.000    33.6411    25.9139    1488.36 0.0000e+00
       1489 25 May 2023 08:57:29     40.000     40.371     9.8710  36.658245     0.4542 3.0670e-01    275.480     96.577     40.000    33.6401    25.9117    1488.37 0.0000e+00
       1508 25 May 2023 08:57:34     39.000     39.362     9.8791  36.664993     0.4476 3.6479e-01    276.271     96.871     39.000    33.6398    25.9102    1488.39 0.0000e+00
       1529 25 May 2023 08:57:39     38.000     38.353     9.8871  36.671053     0.4116 4.2811e-01    276.657     97.015     38.000    33.6390    25.9082    1488.40 0.0000e+00
       1549 25 May 2023 08:57:44     37.000     37.343     9.8912  36.673409     0.4768 5.0983e-01    276.233     96.878     37.000    33.6381    25.9068    1488.40 0.0000e+00
       1568 25 May 2023 08:57:49     36.000     36.334     9.8967  36.677740     0.4266 6.0421e-01    276.891     97.124     36.000    33.6378    25.9057    1488.40 0.0000e+00
       1589 25 May 2023 08:57:54     35.000     35.324     9.9041  36.683988     0.4863 7.2150e-01    277.859     97.474     35.000    33.6377    25.9044    1488.41 0.0000e+00
       1608 25 May 2023 08:57:59     34.000     34.315     9.9086  36.687278     0.4432 8.5698e-01    277.354     97.302     34.000    33.6373    25.9033    1488.41 0.0000e+00
       1628 25 May 2023 08:58:04     33.000     33.306     9.9114  36.688590     0.5396 1.0351e+00    278.045     97.548     33.000    33.6365    25.9022    1488.40 0.0000e+00
       1647 25 May 2023 08:58:09     32.000     32.297     9.9134  36.688048     0.6255 1.2698e+00    278.103     97.572     32.000    33.6345    25.9003    1488.39 0.0000e+00
       1666 25 May 2023 08:58:13     31.000     31.287     9.9157  36.687615     0.5487 1.5099e+00    277.663     97.420     31.000    33.6325    25.8983    1488.38 0.0000e+00
       1685 25 May 2023 08:58:18     30.000     30.278     9.9176  36.686666     0.6373 1.7989e+00    278.734     97.802     30.000    33.6301    25.8962    1488.36 0.0000e+00
       1704 25 May 2023 08:58:23     29.000     29.268     9.9215  36.686703     0.6980 2.0549e+00    278.694     97.798     29.000    33.6270    25.8931    1488.36 0.0000e+00
       1723 25 May 2023 08:58:28     28.000     28.259     9.9273  36.688813     0.9027 2.3662e+00    279.129     97.967     28.000    33.6242    25.8899    1488.36 0.0000e+00
       1742 25 May 2023 08:58:32     27.000     27.250     9.9355  36.694035     0.8291 2.7874e+00    279.829     98.229     27.000    33.6224    25.8871    1488.37 0.0000e+00
       1760 25 May 2023 08:58:37     26.000     26.240     9.9450  36.696767     0.9765 3.3032e+00    280.002     98.340     26.000    33.6167    25.8811    1488.38 0.0000e+00
       1779 25 May 2023 08:58:41     25.000     25.231     9.9706  36.717210     1.4229 3.9175e+00    283.524     99.649     25.000    33.6141    25.8748    1488.45 0.0000e+00
       1798 25 May 2023 08:58:46     24.000     24.222    10.0050  36.742857     1.6686 4.6552e+00    285.955    100.534     24.000    33.6088    25.8648    1488.55 0.0000e+00
       1816 25 May 2023 08:58:51     23.000     23.212    10.0184  36.751448     1.2974 5.5000e+00    286.602    100.776     23.000    33.6054    25.8599    1488.58 0.0000e+00
       1835 25 May 2023 08:58:55     22.000     22.203    10.0266  36.755593     1.2325 6.5570e+00    286.448    100.730     22.000    33.6025    25.8563    1488.59 0.0000e+00
       1853 25 May 2023 08:59:00     21.000     21.194    10.0307  36.756436     1.2428 7.8005e+00    287.213    101.007     21.000    33.6000    25.8537    1488.59 0.0000e+00
       1871 25 May 2023 08:59:05     20.000     20.185    10.0347  36.757810     1.3052 9.3039e+00    287.135    100.995     20.000    33.5982    25.8515    1488.58 0.0000e+00
       1890 25 May 2023 08:59:09     19.000     19.175    10.0427  36.762362     1.6303 1.1018e+01    288.291    101.421     19.000    33.5958    25.8483    1488.59 0.0000e+00
       1908 25 May 2023 08:59:14     18.000     18.166    10.0519  36.767910     1.2718 1.3175e+01    288.645    101.563     18.000    33.5933    25.8449    1488.60 0.0000e+00
       1926 25 May 2023 08:59:18     17.000     17.157    10.0609  36.772100     1.4062 1.5644e+01    289.766    101.977     17.000    33.5897    25.8405    1488.61 0.0000e+00
       1945 25 May 2023 08:59:23     16.000     16.148    10.0714  36.778667     1.6805 1.8674e+01    292.131    102.854     16.000    33.5870    25.8366    1488.64 0.0000e+00
       1964 25 May 2023 08:59:28     15.000     15.138    10.0936  36.789463     1.7362 2.2095e+01    295.586    104.113     15.000    33.5778    25.8257    1488.69 0.0000e+00
       1982 25 May 2023 08:59:32     14.000     14.129    10.1161  36.800569     1.6670 2.6392e+01    299.047    105.407     14.000    33.5687    25.8147    1488.74 0.0000e+00
       2001 25 May 2023 08:59:37     13.000     13.120    10.1531  36.824565     1.9964 3.1814e+01    301.523    106.418     13.000    33.5591    25.8010    1488.84 0.0000e+00
       2019 25 May 2023 08:59:42     12.000     12.110    10.2176  36.868703     1.5620 3.7611e+01    304.414    107.588     12.000    33.5446    25.7787    1489.04 0.0000e+00
       2037 25 May 2023 08:59:46     11.000     11.101    10.2860  36.911624     1.3783 4.6432e+01    307.843    109.038     11.000    33.5252    25.7519    1489.25 0.0000e+00
       2056 25 May 2023 08:59:51     10.000     10.092    10.3972  36.986224     1.4825 5.8178e+01    308.511    109.697     10.000    33.4983    25.7119    1489.59 0.0000e+00
       2074 25 May 2023 08:59:55      9.000      9.083    10.5896  37.113081     1.3129 7.2698e+01    309.436    110.115      9.000    33.4494    25.6404    1490.20 0.0000e+00
       2092 25 May 2023 09:00:00      8.000      8.074    10.6650  37.050421     1.3583 9.1026e+01    307.070    109.192      8.000    33.3180    25.5249    1490.29 0.0000e+00
       2110 25 May 2023 09:00:04      7.000      7.064    10.6589  36.951562     1.1143 1.1496e+02    302.752    107.671      7.000    33.2251    25.4536    1490.14 0.0000e+00
       2127 25 May 2023 09:00:09      6.000      6.055    10.6810  36.913418     1.1954 1.4507e+02    302.145    107.526      6.000    33.1673    25.4047    1490.13 0.0000e+00
       2145 25 May 2023 09:00:13      5.000      5.046    10.7316  36.892127     1.2923 1.8456e+02    304.933    108.646      5.000    33.1006    25.3439    1490.22 0.0000e+00
       2163 25 May 2023 09:00:18      4.000      4.037    10.8092  36.883108     1.3012 2.3865e+02    306.740    109.433      4.000    33.0218    25.2690    1490.38 0.0000e+00
       2181 25 May 2023 09:00:22      3.000      3.028    10.8778  36.917837     0.8116 3.1478e+02    308.396    110.107      3.000    32.9950    25.2361    1490.57 0.0000e+00
       2199 25 May 2023 09:00:27      2.000      2.018    10.9376  36.891687     0.4868 4.2749e+02    307.114    109.660      2.000    32.9157    25.1638    1490.67 0.0000e+00
       2217 25 May 2023 09:00:31      1.000      1.009    11.0337  36.168169     0.0210 6.2063e+02    312.727     99.633      1.000    32.1181    24.5264    1490.03 0.0000e+00
