       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        151 25 May 2023 10:51:04      1.000      1.009    11.3820  37.454841     0.0192 1.1595e+03    258.889     93.396      1.000    33.0739    25.2074    1492.40 0.0000e+00
        286 25 May 2023 10:51:37      2.000      2.018    11.2237  37.294877     0.0156 1.0032e+03    292.380    105.027      2.000    33.0578    25.2234    1491.85 0.0000e+00
        308 25 May 2023 10:51:43      3.000      3.028    11.1595  37.245613     0.2088 6.1015e+02    292.640    104.932      3.000    33.0664    25.2416    1491.65 0.0000e+00
        331 25 May 2023 10:51:49      4.000      4.037    11.0821  37.190622     0.4689 3.9454e+02    293.984    105.358      4.000    33.0812    25.2669    1491.41 0.0000e+00
        354 25 May 2023 10:51:54      5.000      5.046    11.0481  37.164121     0.5384 2.1926e+02    295.168    105.607      5.000    33.0851    25.2761    1491.32 0.0000e+00
        377 25 May 2023 10:52:00      6.000      6.055    10.9580  37.092199     0.6118 1.5806e+02    293.948    105.013      6.000    33.0946    25.2994    1491.03 0.0000e+00
        401 25 May 2023 10:52:06      7.000      7.064    10.9070  37.062936     0.6547 1.2322e+02    293.674    104.940      7.000    33.1112    25.3214    1490.88 0.0000e+00
        424 25 May 2023 10:52:12      8.000      8.074    10.9206  37.074398     0.7367 1.0757e+02    294.953    105.405      8.000    33.1098    25.3179    1490.95 0.0000e+00
        447 25 May 2023 10:52:17      9.000      9.083    10.9221  37.075378     0.7223 8.5898e+01    295.522    105.592      9.000    33.1090    25.3170    1490.97 0.0000e+00
        470 25 May 2023 10:52:23     10.000     10.092    10.9105  37.065747     0.7309 7.5467e+01    296.247    105.815     10.000    33.1095    25.3195    1490.94 0.0000e+00
        492 25 May 2023 10:52:29     11.000     11.101    10.8956  37.056200     0.7223 5.7856e+01    295.949    105.703     11.000    33.1130    25.3248    1490.91 0.0000e+00
        515 25 May 2023 10:52:34     12.000     12.110    10.8864  37.048211     0.7806 4.8744e+01    296.222    105.657     12.000    33.1129    25.3263    1490.90 0.0000e+00
        539 25 May 2023 10:52:41     13.000     13.120    10.8187  37.006195     0.7426 3.8035e+01    294.627    105.066     13.000    33.1319    25.3530    1490.70 0.0000e+00
        576 25 May 2023 10:52:50     14.000     14.129    10.8104  37.011626     0.5794 2.7145e+01    295.044    105.255     14.000    33.1445    25.3643    1490.70 0.0000e+00
        580 25 May 2023 10:52:51     13.000     13.120    10.8252  37.014969     0.6051 3.1761e+01    293.278    104.613     13.000    33.1348    25.3542    1490.72 0.0000e+00
        611 25 May 2023 10:52:59     12.000     12.110    10.8330  37.019318     0.6947 3.3414e+01    293.040    104.560     12.000    33.1325    25.3510    1490.73 0.0000e+00
        643 25 May 2023 10:53:06     11.000     11.101    10.8548  37.032851     0.6535 3.1819e+01    293.689    104.841     11.000    33.1266    25.3426    1490.78 0.0000e+00
        673 25 May 2023 10:53:14     10.000     10.092    10.8751  37.044056     0.7199 3.8233e+01    293.525    104.814     10.000    33.1199    25.3337    1490.83 0.0000e+00
        705 25 May 2023 10:53:22      9.000      9.083    10.8900  37.053045     0.7044 4.0579e+01    293.868    104.972      9.000    33.1158    25.3280    1490.86 0.0000e+00
        736 25 May 2023 10:53:30      8.000      8.074    10.9085  37.064923     0.6983 5.2196e+01    293.315    104.806      8.000    33.1114    25.3212    1490.90 0.0000e+00
        767 25 May 2023 10:53:37      7.000      7.064    10.9206  37.072946     0.6936 6.2336e+01    292.958    104.706      7.000    33.1088    25.3171    1490.93 0.0000e+00
        798 25 May 2023 10:53:45      6.000      6.055    10.9383  37.087162     0.6466 6.8133e+01    293.048    104.834      6.000    33.1074    25.3129    1490.97 0.0000e+00
        825 25 May 2023 10:53:52      5.000      5.046    11.0004  37.137676     0.5905 7.4881e+01    291.560    104.433      5.000    33.1020    25.2976    1491.17 0.0000e+00
        853 25 May 2023 10:53:59      4.000      4.037    11.0471  37.171479     0.5657 8.4964e+01    292.570    104.862      4.000    33.0938    25.2830    1491.31 0.0000e+00
        879 25 May 2023 10:54:06      3.000      3.028    11.0760  37.193710     0.5142 1.1129e+02    290.966    104.363      3.000    33.0902    25.2750    1491.39 0.0000e+00
        906 25 May 2023 10:54:12      2.000      2.018    11.1122  37.221628     0.4915 1.6802e+02    291.185    104.575      2.000    33.0856    25.2650    1491.49 0.0000e+00
        933 25 May 2023 10:54:19      1.000      1.009    11.1829  37.256515     0.2552 3.6462e+02    296.545    101.576      1.000    33.0570    25.2301    1491.69 0.0000e+00
