       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
        189 25 May 2023 11:46:47      1.000      1.009    12.0217  37.848302     1.1318 1.1993e+03    265.403     96.899      1.000    32.8891    24.9459    1494.39 0.0000e+00
        333 25 May 2023 11:47:23      2.000      2.018    11.6681  37.582681     0.1423 5.1080e+02    295.007    106.677      2.000    32.9433    25.0536    1493.26 0.0000e+00
        356 25 May 2023 11:47:29      3.000      3.028    11.4785  37.429517     0.4141 4.0286e+02    294.451    106.169      3.000    32.9618    25.1027    1492.64 0.0000e+00
        380 25 May 2023 11:47:35      4.000      4.037    11.3450  37.326710     0.5039 3.4675e+02    294.137    105.813      4.000    32.9797    25.1408    1492.21 0.0000e+00
        404 25 May 2023 11:47:41      5.000      5.046    11.2426  37.255536     0.5839 3.7998e+02    294.984    105.962      5.000    33.0007    25.1756    1491.90 0.0000e+00
        428 25 May 2023 11:47:47      6.000      6.055    11.1762  37.208316     0.7378 3.3412e+02    295.618    106.090      6.000    33.0132    25.1972    1491.69 0.0000e+00
        452 25 May 2023 11:47:53      7.000      7.064    11.1328  37.177317     0.8305 2.7382e+02    294.833    105.686      7.000    33.0211    25.2112    1491.57 0.0000e+00
        477 25 May 2023 11:47:59      8.000      8.074    11.0786  37.139734     0.9426 2.2122e+02    293.684    105.221      8.000    33.0322    25.2295    1491.41 0.0000e+00
        501 25 May 2023 11:48:05      9.000      9.083    11.0553  37.124460     0.9306 1.7798e+02    293.446    105.062      9.000    33.0376    25.2378    1491.35 0.0000e+00
        525 25 May 2023 11:48:11     10.000     10.092    11.0215  37.103939     0.8345 1.4405e+02    290.988    104.156     10.000    33.0473    25.2514    1491.26 0.0000e+00
        548 25 May 2023 11:48:17     11.000     11.101    11.0139  37.100933     0.7999 1.1619e+02    292.542    104.711     11.000    33.0507    25.2554    1491.25 0.0000e+00
        572 25 May 2023 11:48:23     12.000     12.110    11.0136  37.102492     0.7660 9.4339e+01    292.317    104.619     12.000    33.0521    25.2565    1491.27 0.0000e+00
        596 25 May 2023 11:48:29     13.000     13.120    11.0056  37.098593     0.7791 7.6367e+01    292.351    104.618     13.000    33.0550    25.2602    1491.26 0.0000e+00
        620 25 May 2023 11:48:35     14.000     14.129    10.9999  37.096688     0.7687 6.1845e+01    292.556    104.684     14.000    33.0578    25.2634    1491.26 0.0000e+00
        645 25 May 2023 11:48:41     15.000     15.138    10.9968  37.096569     0.7678 5.0098e+01    293.199    104.909     15.000    33.0600    25.2656    1491.27 0.0000e+00
        670 25 May 2023 11:48:47     16.000     16.148    10.9937  37.095857     0.9565 4.0559e+01    293.195    104.904     16.000    33.0617    25.2675    1491.28 0.0000e+00
        696 25 May 2023 11:48:54     17.000     17.157    10.9912  37.094928     0.8473 3.2988e+01    293.682    105.072     17.000    33.0626    25.2686    1491.29 0.0000e+00
        721 25 May 2023 11:49:00     18.000     18.166    10.9890  37.094267     0.7856 2.6723e+01    291.230    104.187     18.000    33.0635    25.2697    1491.30 0.0000e+00
        745 25 May 2023 11:49:06     19.000     19.175    10.9850  37.091707     0.9019 2.1770e+01    288.962    103.362     19.000    33.0641    25.2709    1491.30 0.0000e+00
        768 25 May 2023 11:49:12     20.000     20.185    10.9775  37.086779     0.8507 1.7763e+01    288.979    103.358     20.000    33.0656    25.2734    1491.29 0.0000e+00
        792 25 May 2023 11:49:18     21.000     21.194    10.9739  37.085406     0.8274 1.4516e+01    289.429    103.517     21.000    33.0670    25.2752    1491.30 0.0000e+00
        815 25 May 2023 11:49:24     22.000     22.203    10.9722  37.085886     0.9029 1.1868e+01    289.682    103.603     22.000    33.0686    25.2766    1491.31 0.0000e+00
        839 25 May 2023 11:49:30     23.000     23.212    10.9693  37.085421     0.7869 9.6963e+00    289.451    103.510     23.000    33.0703    25.2785    1491.32 0.0000e+00
        863 25 May 2023 11:49:36     24.000     24.222    10.9625  37.081502     0.7975 7.9190e+00    287.973    102.963     24.000    33.0721    25.2811    1491.32 0.0000e+00
        887 25 May 2023 11:49:42     25.000     25.231    10.9548  37.081831     0.7617 6.4838e+00    287.167    102.674     25.000    33.0789    25.2878    1491.31 0.0000e+00
        911 25 May 2023 11:49:47     26.000     26.240    10.9537  37.083017     0.7584 5.3177e+00    286.420    102.404     26.000    33.0807    25.2894    1491.33 0.0000e+00
