       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
          1 25 May 2023 11:46:00      0.123      0.124    12.2247   0.001057     0.0304 2.0771e+03    337.356    100.679      0.123     0.0064    -0.5216    1455.88 0.0000e+00
          2 25 May 2023 11:46:00      0.124      0.125    12.2246   0.001027     0.0314 2.0803e+03    337.480    100.716      0.124     0.0064    -0.5216    1455.88 0.0000e+00
          3 25 May 2023 11:46:00      0.124      0.125    12.2245   0.001004     0.0344 2.0785e+03    337.363    100.681      0.124     0.0064    -0.5216    1455.88 0.0000e+00
          4 25 May 2023 11:46:00      0.125      0.126    12.2244   0.000996     0.0384 2.0599e+03    337.407    100.694      0.125     0.0064    -0.5216    1455.88 0.0000e+00
          5 25 May 2023 11:46:01      0.126      0.127    12.2244   0.000994     0.0364 2.0455e+03    337.357    100.679      0.126     0.0064    -0.5216    1455.88 0.0000e+00
          6 25 May 2023 11:46:01      0.126      0.127    12.2243   0.000986     0.0334 2.0268e+03    337.102    100.603      0.126     0.0064    -0.5216    1455.88 0.0000e+00
          7 25 May 2023 11:46:01      0.127      0.128    12.2242   0.000977     0.0304 2.0255e+03    337.148    100.616      0.127     0.0064    -0.5216    1455.88 0.0000e+00
          8 25 May 2023 11:46:01      0.127      0.128    12.2241   0.000967     0.0334 2.0415e+03    337.027    100.579      0.127     0.0064    -0.5216    1455.88 0.0000e+00
          9 25 May 2023 11:46:01      0.127      0.129    12.2240   0.000952     0.0215 2.0631e+03    336.849    100.526      0.127     0.0064    -0.5216    1455.88 0.0000e+00
         10 25 May 2023 11:46:03      0.128      0.129    12.2239   0.000942     0.0195 2.0509e+03    336.911    100.544      0.128     0.0064    -0.5216    1455.88 0.0000e+00
         11 25 May 2023 11:46:03      0.128      0.129    12.2238   0.000941     0.0364 2.0748e+03    336.945    100.554      0.128     0.0064    -0.5215    1455.88 0.0000e+00
         12 25 May 2023 11:46:03      0.128      0.129    12.2237   0.000943     0.0334 2.0821e+03    337.095    100.598      0.128     0.0064    -0.5215    1455.88 0.0000e+00
         13 25 May 2023 11:46:03      0.128      0.129    12.2236   0.000943     0.0116 2.0835e+03    337.046    100.584      0.128     0.0064    -0.5215    1455.88 0.0000e+00
         14 25 May 2023 11:46:03      0.128      0.130    12.2235   0.000943     0.0166 2.0876e+03    337.108    100.602      0.128     0.0064    -0.5215    1455.88 0.0000e+00
         15 25 May 2023 11:46:03      0.129      0.130    12.2234   0.000942     0.0225 2.0698e+03    337.279    100.653      0.129     0.0064    -0.5215    1455.88 0.0000e+00
         16 25 May 2023 11:46:04      0.129      0.130    12.2233   0.000941     0.0235 2.0545e+03    337.425    100.696      0.129     0.0064    -0.5215    1455.88 0.0000e+00
         17 25 May 2023 11:46:04      0.129      0.130    12.2232   0.000935     0.0175 2.0313e+03    337.434    100.698      0.129     0.0064    -0.5215    1455.88 0.0000e+00
         18 25 May 2023 11:46:04      0.129      0.131    12.2231   0.000923     0.0294 2.0079e+03    337.453    100.704      0.129     0.0064    -0.5215    1455.88 0.0000e+00
