       Scan DD MMM YYYY HH:MM:SS      DepSM       PrdM     Tv290C    C0mS/cm  FlECO-AFLPar/sat/log Sbeox0Mm/L   Sbeox0PS      DepSM      Sal00  Sigma-t00       SvCM       Flag
       1223 25 May 2023 10:33:03     10.000     10.092    10.7469  36.976956     0.7993 1.2955e+02    292.875    104.310     10.000    33.1692    25.3947    1490.44 0.0000e+00
       1245 25 May 2023 10:33:09      9.000      9.083    10.7468  36.976295     0.8318 1.6380e+02    292.751    104.265      9.000    33.1691    25.3946    1490.42 0.0000e+00
       1267 25 May 2023 10:33:15      8.000      8.074    10.7468  36.976175     0.8048 2.1140e+02    292.759    104.283      8.000    33.1693    25.3948    1490.40 0.0000e+00
       1290 25 May 2023 10:33:20      7.000      7.065    10.7572  36.982975     0.6616 2.7357e+02    292.980    104.391      7.000    33.1671    25.3912    1490.42 0.0000e+00
       1312 25 May 2023 10:33:26      6.000      6.055    10.7693  36.989336     0.6137 3.5224e+02    292.634    104.267      6.000    33.1630    25.3859    1490.44 0.0000e+00
       1335 25 May 2023 10:33:31      5.000      5.046    10.7674  36.987119     0.0847 4.6043e+02    293.297    104.496      5.000    33.1629    25.3862    1490.42 0.0000e+00
       1357 25 May 2023 10:33:37      4.000      4.037    10.7635  36.984462     0.0235 6.1623e+02    293.833    104.683      4.000    33.1642    25.3879    1490.39 0.0000e+00
       1379 25 May 2023 10:33:42      3.000      3.028    10.7623  36.983807     0.0255 7.7480e+02    293.377    104.522      3.000    33.1651    25.3888    1490.37 0.0000e+00
       1401 25 May 2023 10:33:48      2.000      2.018    10.7630  36.984393     0.0146 9.8251e+02    292.805    104.320      2.000    33.1655    25.3890    1490.36 0.0000e+00
       1423 25 May 2023 10:33:53      1.000      1.009    10.7637  36.909950     0.0409 1.4373e+03    310.322    102.969      1.000    33.0911    25.3309    1490.25 0.0000e+00
